_,Name,AccountNumber,Nvt_External_Id__c,ParentId,twodcms__Active__c,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,Nvt_Warranty_Dealer_Type__c,Phone,BillingCountry,BillingState,BillingCity,BillingStreet,BillingPostalCode,ShippingCountry,ShippingState,ShippingCity,ShippingStreet,ShippingPostalCode,CurrencyIsoCode,Nvt_DSM__c,twodcms__Primary_Email_Id__c,Nvt_Region__c,Issues
[Account],"Amazon BDU5 - Commerce City, CO",AMAZON09,AMAZON09,,Active,C&I,Customer,,,US,CO,Commerce City,8350 Quintero St.,80022,US,CO,Commerce City,8350 Quintero St.,80022,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon BFI7 - Sumner, WA",AMAZON01,AMAZON01,,Active,C&I,Customer,,,US,WA,SUMNER,1800 140TH AVENUE E,98390-9624,US,WA,SUMNER,1800 140TH AVENUE E,98390-9624,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon BFI9 - Dupont, WA",HYS-AM17,HYS-AM17,,Active,C&I,Customer,,,US,WA,DUPONT,3230 INTERNATIONAL PLACE,98327,US,WA,DUPONT,3230 INTERNATIONAL PLACE,98327,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon BFL2 - Shafter, CA",HYS-AM11,HYS-AM11,,Active,C&I,Customer,,,US,CA,SHAFTER,45000 EXPRESS AVE,93263,US,CA,SHAFTER,45000 EXPRESS AVE,93263,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon BNA7 - Mt. Juliet, TN",AMAZON72,AMAZON72,,Active,C&I,Customer,,,US,TN,Mt. Juliet,23 Athletes Way N.,37122,US,TN,Mt. Juliet,23 Athletes Way N.,37122,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon BOI5 - Boise, ID",AMAZON08,AMAZON08,,Active,C&I,Customer,,,US,ID,Boise,2155 E. Freight St.,83716,US,ID,Boise,2155 E. Freight St.,83716,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon BTR1 - Baton Rouge, LA",AMZBTR1,AMZBTR1,,Active,C&I,Customer,,,US,LA,BATON ROUGE,9001 CORTANA PLACE,70815,US,LA,BATON ROUGE,9001 CORTANA PLACE,70815,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon BTR9 - Port Allen, LA",AMAZON26,AMAZON26,,Active,C&I,Customer,,,US,LA,Port Allen,3191 Webster Lane,70767,US,LA,Port Allen,3191 Webster Lane,70767,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon CMH7 - New Albany, OH",AMAZON68,AMAZON68,,Active,C&I,Customer,,,US,OH,New Albany,1245 Beech Rd SW,43054,US,OH,New Albany,1245 Beech Rd SW,43054,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon CNO8 - Santa Clarita, CA",AMAZON57,AMAZON57,,Active,C&I,Customer,,,US,CA,Santa Clarita,21501 Needham Ranch Pkwy,91321,US,CA,Santa Clarita,21501 Needham Ranch Pkwy,91321,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon COS5 - Colorado Springs, CO",AMAZON22,AMAZON22,,Active,C&I,Customer,,,US,CO,Colorado Springs,4333 Integration Loop,80916,US,CO,Colorado Springs,4333 Integration Loop,80916,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon DEN4 - Colorado Springs, CO",HYS-AM08,HYS-AM08,,Active,C&I,Customer,,,US,,,,80916,US,CO,Colorado Springs,4222 Integration Loop,80925,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon DET3 - Pontiac, MI",HYS-AM12,HYS-AM12,,Active,C&I,Customer,,,US,MI,PONTIAC,1200 FEATHERSTONE ROAD,48342,US,MI,PONTIAC,1200 FEATHERSTONE ROAD,48342,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon DET6 - Detroit, MI",AMAZON91,AMAZON91,,Active,C&I,Customer,,,US,MI,Detroit,20110 Woodward Ave.,48203,US,MI,Detroit,20110 Woodward Ave.,48203,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon DSM9 - Bondurant, IA",AMAZON21,AMAZON21,,Active,C&I,Customer,,,US,IA,Bondurant,2300 Shiloh Rose Pkwy SW,50035,US,IA,Bondurant,2300 Shiloh Rose Pkwy SW,50035,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon DTW8 - Plymouth, MI",AMAZON46,AMAZON46,,Active,C&I,Customer,,,US,MI,Plymouth,9075 Haggerty Rd.,48170,US,MI,Plymouth,9075 Haggerty Rd.,48170,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon DTW9 - New Boston, MI",AMAZON23,AMAZON23,,Active,C&I,Customer,,,US,MI,New Boston,18000 Vining Rd.,48164,US,MI,New Boston,18000 Vining Rd.,48164,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon DVY2 - Burnaby, BC",AMAZON92,AMAZON92,,Active,C&I,Customer,,,CA,BC,Burnaby,8251 Fraser Reach Ct.,V3N 2C1,CA,BC,Burnaby,8251 Fraser Reach Ct.,V3N 2C1,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon ELP1 - El Paso, TX",AMAZON35,AMAZON35,,Active,C&I,Customer,,,US,TX,El Paso,12101 Emerald Pass Dr.,79928,US,TX,El Paso,12101 Emerald Pass Dr.,79928,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon EUG5 - Portland, OR",AMAZON24,AMAZON24,,Active,C&I,Customer,,,US,OR,Portland,1001 N Schmeer Rd.,97217,US,OR,Portland,1001 N Schmeer Rd.,97217,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon FSD1 - Sioux Falls, SD",AMAZON64,AMAZON64,,Active,C&I,Customer,,,US,SD,Sioux Falls,6700 N. Marion Rd.,57107,US,SD,Sioux Falls,6700 N. Marion Rd.,57107,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon FTW4 - Fort Worth, TX",AMZFTW4,AMZFTW4,,Active,C&I,Customer,,,US,TX,FORT WORTH,15201 HERITAGE PARKWAY,76177,US,TX,FORT WORTH,15201 HERITAGE PARKWAY,76177,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon FWA4 - Fort Wayne, IN",HYSAMA07,HYSAMA07,,Active,C&I,Customer,,,US,IN,Fort Wayne,9800 Smith Rd,46818,US,IN,Fort Wayne,9800 Smith Rd,46818,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon GRR5 - Caledonia, MI",AMAZON67,AMAZON67,,Active,C&I,Customer,,,US,MI,Caledonia,6665 Patterson Ave,49316,US,MI,Caledonia,6665 Patterson Ave,49316,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon GYR2 - Goodyear, AZ",HYS-AMA9,HYS-AMA9,,Active,C&I,Customer,,,US,AZ,GOODYEAR,17341 W MINNEZONA AVE,85395,US,AZ,GOODYEAR,17341 W MINNEZONA AVE,85395,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon HFD5 - Manchester, CT",AMAZON17,AMAZON17,,Active,C&I,Customer,,,US,CT,Manchester,1339 Tolland Turnpike,6041,US,CT,Manchester,1339 Tolland Turnpike,6041,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon HGA3Dallas, TX",AMAZON96,AMAZON96,,Active,C&I,Customer,,,US,TX,Dallas,3100 State Hwy 161,75261,US,TX,Dallas,3100 State Hwy 161,75261,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon HMO3 - Hermosillo, SO",AMAZON52,AMAZON52,,Active,C&I,Customer,,,MX,SO,Hermosillo,S. DE R.L Carretera a La Colorada y Boulevard Futura S/N Po,83297,MX,SO,Hermosillo,S. DE R.L Carretera a La Colorada y Boulevard Futura S/N Po,83297,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon HNW1 - Compton, CA",AMAZON94,AMAZON94,,Active,C&I,Customer,,,US,CA,Compton,3015 E Ana St.,90221,US,CA,Compton,3015 E Ana St.,90221,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon HTX3 - Wilmer, TX",AMAZON51,AMAZON51,,Active,C&I,Customer,,,US,TX,Wilmer,1300 E Fulghum Rd. Bldg. 3,75172,US,TX,Wilmer,1300 E Fulghum Rd. Bldg. 3,75172,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon HWE2 - Sacramento, CA",AMAZON95,AMAZON95,,Active,C&I,Customer,,,US,CA,Sacramento,8035 Metro Air Pkwy,95837,US,CA,Sacramento,8035 Metro Air Pkwy,95837,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon IAH3 - Houston, TX",AMAZON75,AMAZON75,,Active,C&I,Customer,,,US,TX,Houston,15525 MILNER RD.,77032,US,TX,Houston,15525 MILNER RD.,77032,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon IGQ9 - Dekalb, IL",AMAZON74,AMAZON74,,Active,C&I,Customer,,,US,IL,Dekalb,1401 E Gurler Rd.,60115,US,IL,Dekalb,1401 E Gurler Rd.,60115,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon IND4 - Indianapolis, IN",AMAZON03,AMAZON03,,Active,C&I,Customer,,,US,IN,INDIANAPOLIS,710 S GIRLS SCHOOL ROAD,46231,US,IN,INDIANAPOLIS,710 S GIRLS SCHOOL ROAD,46231,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon JAN1 - Canton, MS",AMAZON06,AMAZON06,,Active,C&I,Customer,,,US,MS,Canton,1978 Highway 22,39046,US,MS,Canton,1978 Highway 22,39046,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon JAX7 - Jacksonville, FL",HYS-AM18,HYS-AM18,,Active,C&I,Customer,,,US,FL,JACKSONVILLE,10501 COLD STORAGE ROAD,32218,US,FL,JACKSONVILLE,10501 COLD STORAGE ROAD,32218,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon JAX9 - Jacksonville, FL",AMAZON10,AMAZON10,,Active,C&I,Customer,,,US,FL,Jacksonville,13450 Waterworks St.,32221,US,FL,Jacksonville,13450 Waterworks St.,32221,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon KCVG - Hebron, KY",AMAZON04,AMAZON04,,Active,C&I,Customer,,,US,KY,HEBRON,191 WENDELL FORD,41018,US,KY,HEBRON,191 WENDELL FORD,41018,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon KOH2 - Monroe, OH",AMZKOH2,AMZKOH2,,Active,C&I,Customer,,,US,OH,MONROE,"1001 LOGISTICS WAY, BLDG A",45044,US,OH,MONROE,"1001 LOGISTICS WAY, BLDG A",45044,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon KRB6 - Aurora, IL",AMAZON49,AMAZON49,,Active,C&I,Customer,,,US,IL,Aurora,4200 Ferry Rd,60502,US,IL,Aurora,4200 Ferry Rd,60502,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon KRB7 - Beaumont, CA",AMAZON80,AMAZON80,,Active,C&I,Customer,,,US,CA,Beaumont,36900 W Fourth St.,92223,US,CA,Beaumont,36900 W Fourth St.,92223,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon KSBD - San Bernardino, CA",HYS-AMA3,HYS-AMA3,,Active,C&I,Customer,,866-495-8567,US,CA,SAN BERNARDINO,2535 E 3RD STREET,92408,US,CA,SAN BERNARDINO,2535 E 3RD STREET,92408,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon LAX9 - Fontana, CA",AMZLAX9,AMZLAX9,,Active,C&I,Customer,,,US,CA,FONTANA,11263 OLEANDER AVE,92337,US,CA,FONTANA,11263 OLEANDER AVE,92337,USD,,dummy@tavant.com,Western,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon LBB5 - Lubbock, TX",AMAZON19,AMAZON19,,Active,C&I,Customer,,,US,TX,Lubbock,1110 E. Hunter Rd.,79403,US,TX,Lubbock,1110 E. Hunter Rd.,79403,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon LOU5 - Lanesville, IN",AMAZON56,AMAZON56,,Active,C&I,Customer,,,US,IN,Lanesville,4492 Crandall Lanesville Rd.NE,47112,US,IN,Lanesville,4492 Crandall Lanesville Rd.NE,47112,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MCI9 - Liberty, MO",AMAZON59,AMAZON59,,Active,C&I,Customer,,,US,MO,Liberty,3000 Campbell Dr.,64068,US,MO,Liberty,3000 Campbell Dr.,64068,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MDT9 - Tremont, PA",AMZMDT9,AMZMDT9,,Active,C&I,Customer,,,US,PA,Tremont,7 E Franklin Road,17981,US,PA,Tremont,7 E Franklin Road,17981,USD,,dummy@tavant.com,Eastern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MDW2 - Joliet, IL",HYS-AMA2,HYS-AMA2,,Active,C&I,Customer,,866-495-8567,US,IL,JOLIET,250 EMERALD DRIVE,60433,US,IL,JOLIET,250 EMERALD DRIVE,60433,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MDW6 - Romeoville, IL",AMAZON87,AMAZON87,,Active,C&I,Customer,,,US,IL,Romeoville,1125 Remington Blvd,60446,US,IL,Romeoville,1125 Remington Blvd,60446,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MGE9 - Union City, GA",AMAZON43,AMAZON43,,Active,C&I,Customer,,,US,GA,UNION CITY,3600 FLAT SHOALS ROAD,30291,US,GA,UNION CITY,3600 FLAT SHOALS ROAD,30291,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MIA2 - Opa-locka, FL",AMAZON11,AMAZON11,,Active,C&I,Customer,,,US,FL,Opa Locka,14250 Aviation Dr.,33054,US,FL,Opa-locka,14250 Aviation Dr.,33054,USD,,dummy@tavant.com,Southern,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MLI - Campbellsville, KY",AMZMLI,AMZMLI,,Active,C&I,Customer,,,US,KY,CAMPBELLSVILLE,1048 SOUTH COLUMBIA AVE,42718,US,KY,CAMPBELLSVILLE,1048 SOUTH COLUMBIA AVE,42718,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MLI1 - Davenport, IA",AMZMLI1,AMZMLI1,,Active,C&I,Customer,,,US,IA,DAVENPORT,2022 RESEARCH PARKWAY,52806,US,IA,DAVENPORT,2022 RESEARCH PARKWAY,52806,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MQJ5 - Plainfield, IN",AMAZON30,AMAZON30,,Active,C&I,Customer,,,US,IN,Plainfield,1800 Smith Rd.,46168,US,IN,Plainfield,1800 Smith Rd.,46168,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MQJ9 - Franklin, IN",AMAZON45,AMAZON45,,Active,C&I,Customer,,,US,IN,FRANKLIN,120 JIM BLACK ROAD,46131,US,IN,FRANKLIN,120 JIM BLACK ROAD,46131,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
[Account],"Amazon MSP8 - Woodbury, MN",AMAZON71,AMAZON71,,Active,C&I,Customer,,,US,MN,Woodbury,11736 Hudson Rd,55129,US,MN,Woodbury,11736 Hudson Rd,55129,USD,,dummy@tavant.com,Midwest,Invalid picklist value in 'twodcms__Active__c'
