Name,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,AccountNumber,CurrencyIsoCode,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,twodcms__Active__c,twodcms__Primary_Email_Id__c,Nvt_DSM__c,Nvt_External_Id__c,Nvt_Region__c,Nvt_Warranty_Dealer_Type__c
Amazon,,4706 Aero Parkway,Florence,KY,41042,US,4706 Aero Parkway,Florence,KY,41042,US,,HYS-AM20,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AM20,Midwest,
"Amazon ABE4 - Easton, PA",,1610 Van Buren Rd,Easton,PA,18045,US,1610 Van Buren Rd,Easton,PA,18045,US,,AMAZON37,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON37,Eastern,
"Amazon ABQ1 - Albuquerque, NM",,701 Atrisco Vista Blvd.,Albuquerque,NM,87120,US,701 Atrisco Vista Blvd.,Albuquerque,NM,87120,US,,HYS-AMA5,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AMA5,Western,
"Amazon ABQ5 - Albuquerque, NM",,15480 Reservoir Rd NW,Albuquerque,NM,87121,US,15480 Reservoir Rd NW,Albuquerque,NM,87121,US,,AMAZON20,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON20,Western,
"Amazon ACY9 - Logan Township, NJ",,1150 COMMERCE BLVD,LOGAN TOWNSHIP,NJ,8085,US,1150 COMMERCE BLVD,LOGAN TOWNSHIP,NJ,8085,US,,AMAZON44,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON44,Eastern,
"Amazon AFW5 - Balch Springs, TX",,12734 Lake June Rd.,Balch Springs,TX,75180,US,12734 Lake June Rd.,Balch Springs,TX,75180,US,,AMAZON31,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON31,Southern,
"Amazon AGS5 - Appling, GA",,785 INNOVATION PARKWAY,APPLING,GA,30802,US,785 INNOVATION PARKWAY,APPLING,GA,30802,US,,AMAZON29,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON29,Southern,
"Amazon AKR1 - Canton, OH",,3550 COLUMBUS AVENUE NE,CANTON,OH,44705,US,3550 COLUMBUS AVENUE NE,CANTON,OH,44705,US,,AMZAKR1,USD,C&I,Customer,Active,dummy@tavant.com,,AMZAKR1,Midwest,
"Amazon AZA9 - Litchfield Park, AZ",,6395 N. Sarival Rd.,Litchfield Park,AZ,85340,US,6395 N. Sarival Rd.,Litchfield Park,AZ,85340,US,,AMAZON25,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON25,Western,
"Amazon BDU5 - Commerce City, CO",,8350 Quintero St.,Commerce City,CO,80022,US,8350 Quintero St.,Commerce City,CO,80022,US,,AMAZON09,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON09,Western,
"Amazon BFI7 - Sumner, WA",,1800 140TH AVENUE E,SUMNER,WA,98390-9624,US,1800 140TH AVENUE E,SUMNER,WA,98390-9624,US,,AMAZON01,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON01,Western,
"Amazon BFI9 - Dupont, WA",,3230 INTERNATIONAL PLACE,DUPONT,WA,98327,US,3230 INTERNATIONAL PLACE,DUPONT,WA,98327,US,,HYS-AM17,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AM17,Western,
"Amazon BFL2 - Shafter, CA",,45000 EXPRESS AVE,SHAFTER,CA,93263,US,45000 EXPRESS AVE,SHAFTER,CA,93263,US,,HYS-AM11,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AM11,Western,
"Amazon BNA7 - Mt. Juliet, TN",,23 Athletes Way N.,Mt. Juliet,TN,37122,US,23 Athletes Way N.,Mt. Juliet,TN,37122,US,,AMAZON72,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON72,Southern,
"Amazon BOI5 - Boise, ID",,2155 E. Freight St.,Boise,ID,83716,US,2155 E. Freight St.,Boise,ID,83716,US,,AMAZON08,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON08,Western,
"Amazon BTR1 - Baton Rouge, LA",,9001 CORTANA PLACE,BATON ROUGE,LA,70815,US,9001 CORTANA PLACE,BATON ROUGE,LA,70815,US,,AMZBTR1,USD,C&I,Customer,Active,dummy@tavant.com,,AMZBTR1,Southern,
"Amazon BTR9 - Port Allen, LA",,3191 Webster Lane,Port Allen,LA,70767,US,3191 Webster Lane,Port Allen,LA,70767,US,,AMAZON26,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON26,Southern,
"Amazon CMH7 - New Albany, OH",,1245 Beech Rd SW,New Albany,OH,43054,US,1245 Beech Rd SW,New Albany,OH,43054,US,,AMAZON68,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON68,Midwest,
"Amazon CNO8 - Santa Clarita, CA",,21501 Needham Ranch Pkwy,Santa Clarita,CA,91321,US,21501 Needham Ranch Pkwy,Santa Clarita,CA,91321,US,,AMAZON57,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON57,Western,
"Amazon COS5 - Colorado Springs, CO",,4333 Integration Loop,Colorado Springs,CO,80916,US,4333 Integration Loop,Colorado Springs,CO,80916,US,,AMAZON22,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON22,Western,
"Amazon DEN4 - Colorado Springs, CO",,,,,80916,US,4222 Integration Loop,Colorado Springs,CO,80925,US,,HYS-AM08,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AM08,Western,
"Amazon DET3 - Pontiac, MI",,1200 FEATHERSTONE ROAD,PONTIAC,MI,48342,US,1200 FEATHERSTONE ROAD,PONTIAC,MI,48342,US,,HYS-AM12,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AM12,Midwest,
"Amazon DET6 - Detroit, MI",,20110 Woodward Ave.,Detroit,MI,48203,US,20110 Woodward Ave.,Detroit,MI,48203,US,,AMAZON91,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON91,Midwest,
"Amazon DSM9 - Bondurant, IA",,2300 Shiloh Rose Pkwy SW,Bondurant,IA,50035,US,2300 Shiloh Rose Pkwy SW,Bondurant,IA,50035,US,,AMAZON21,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON21,Midwest,
"Amazon DTW8 - Plymouth, MI",,9075 Haggerty Rd.,Plymouth,MI,48170,US,9075 Haggerty Rd.,Plymouth,MI,48170,US,,AMAZON46,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON46,Midwest,
"Amazon DTW9 - New Boston, MI",,18000 Vining Rd.,New Boston,MI,48164,US,18000 Vining Rd.,New Boston,MI,48164,US,,AMAZON23,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON23,Midwest,
"Amazon DVY2 - Burnaby, BC",,8251 Fraser Reach Ct.,Burnaby,BC,V3N 2C1,CA,8251 Fraser Reach Ct.,Burnaby,BC,V3N 2C1,CA,,AMAZON92,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON92,Western,
"Amazon ELP1 - El Paso, TX",,12101 Emerald Pass Dr.,El Paso,TX,79928,US,12101 Emerald Pass Dr.,El Paso,TX,79928,US,,AMAZON35,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON35,Southern,
"Amazon EUG5 - Portland, OR",,1001 N Schmeer Rd.,Portland,OR,97217,US,1001 N Schmeer Rd.,Portland,OR,97217,US,,AMAZON24,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON24,Western,
"Amazon FSD1 - Sioux Falls, SD",,6700 N. Marion Rd.,Sioux Falls,SD,57107,US,6700 N. Marion Rd.,Sioux Falls,SD,57107,US,,AMAZON64,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON64,Midwest,
"Amazon FTW4 - Fort Worth, TX",,15201 HERITAGE PARKWAY,FORT WORTH,TX,76177,US,15201 HERITAGE PARKWAY,FORT WORTH,TX,76177,US,,AMZFTW4,USD,C&I,Customer,Active,dummy@tavant.com,,AMZFTW4,Southern,
"Amazon FWA4 - Fort Wayne, IN",,9800 Smith Rd,Fort Wayne,IN,46818,US,9800 Smith Rd,Fort Wayne,IN,46818,US,,HYSAMA07,USD,C&I,Customer,Active,dummy@tavant.com,,HYSAMA07,Midwest,
"Amazon GRR5 - Caledonia, MI",,6665 Patterson Ave,Caledonia,MI,49316,US,6665 Patterson Ave,Caledonia,MI,49316,US,,AMAZON67,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON67,Midwest,
"Amazon GYR2 - Goodyear, AZ",,17341 W MINNEZONA AVE,GOODYEAR,AZ,85395,US,17341 W MINNEZONA AVE,GOODYEAR,AZ,85395,US,,HYS-AMA9,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AMA9,Western,
"Amazon HFD5 - Manchester, CT",,1339 Tolland Turnpike,Manchester,CT,6041,US,1339 Tolland Turnpike,Manchester,CT,6041,US,,AMAZON17,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON17,Eastern,
"Amazon HGA3Dallas, TX",,3100 State Hwy 161,Dallas,TX,75261,US,3100 State Hwy 161,Dallas,TX,75261,US,,AMAZON96,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON96,Southern,
"Amazon HMO3 - Hermosillo, SO",,S. DE R.L Carretera a La Colorada y Boulevard Futura S/N Po,Hermosillo,SO,83297,MX,S. DE R.L Carretera a La Colorada y Boulevard Futura S/N Po,Hermosillo,SO,83297,MX,,AMAZON52,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON52,Southern,
"Amazon HNW1 - Compton, CA",,3015 E Ana St.,Compton,CA,90221,US,3015 E Ana St.,Compton,CA,90221,US,,AMAZON94,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON94,Western,
"Amazon HTX3 - Wilmer, TX",,1300 E Fulghum Rd. Bldg. 3,Wilmer,TX,75172,US,1300 E Fulghum Rd. Bldg. 3,Wilmer,TX,75172,US,,AMAZON51,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON51,Southern,
"Amazon HWE2 - Sacramento, CA",,8035 Metro Air Pkwy,Sacramento,CA,95837,US,8035 Metro Air Pkwy,Sacramento,CA,95837,US,,AMAZON95,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON95,Western,
"Amazon IAH3 - Houston, TX",,15525 MILNER RD.,Houston,TX,77032,US,15525 MILNER RD.,Houston,TX,77032,US,,AMAZON75,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON75,Southern,
"Amazon IGQ9 - Dekalb, IL",,1401 E Gurler Rd.,Dekalb,IL,60115,US,1401 E Gurler Rd.,Dekalb,IL,60115,US,,AMAZON74,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON74,Midwest,
"Amazon IND4 - Indianapolis, IN",,710 S GIRLS SCHOOL ROAD,INDIANAPOLIS,IN,46231,US,710 S GIRLS SCHOOL ROAD,INDIANAPOLIS,IN,46231,US,,AMAZON03,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON03,Midwest,
"Amazon JAN1 - Canton, MS",,1978 Highway 22,Canton,MS,39046,US,1978 Highway 22,Canton,MS,39046,US,,AMAZON06,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON06,Southern,
"Amazon JAX7 - Jacksonville, FL",,10501 COLD STORAGE ROAD,JACKSONVILLE,FL,32218,US,10501 COLD STORAGE ROAD,JACKSONVILLE,FL,32218,US,,HYS-AM18,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AM18,Southern,
"Amazon JAX9 - Jacksonville, FL",,13450 Waterworks St.,Jacksonville,FL,32221,US,13450 Waterworks St.,Jacksonville,FL,32221,US,,AMAZON10,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON10,Southern,
"Amazon KCVG - Hebron, KY",,191 WENDELL FORD,HEBRON,KY,41018,US,191 WENDELL FORD,HEBRON,KY,41018,US,,AMAZON04,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON04,Midwest,
"Amazon KOH2 - Monroe, OH",,"1001 LOGISTICS WAY, BLDG A",MONROE,OH,45044,US,"1001 LOGISTICS WAY, BLDG A",MONROE,OH,45044,US,,AMZKOH2,USD,C&I,Customer,Active,dummy@tavant.com,,AMZKOH2,Midwest,
"Amazon KRB6 - Aurora, IL",,4200 Ferry Rd,Aurora,IL,60502,US,4200 Ferry Rd,Aurora,IL,60502,US,,AMAZON49,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON49,Midwest,
"Amazon KRB7 - Beaumont, CA",,36900 W Fourth St.,Beaumont,CA,92223,US,36900 W Fourth St.,Beaumont,CA,92223,US,,AMAZON80,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON80,Western,
"Amazon KSBD - San Bernardino, CA",,2535 E 3RD STREET,SAN BERNARDINO,CA,92408,US,2535 E 3RD STREET,SAN BERNARDINO,CA,92408,US,866-495-8567,HYS-AMA3,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AMA3,Western,
"Amazon LAX9 - Fontana, CA",,11263 OLEANDER AVE,FONTANA,CA,92337,US,11263 OLEANDER AVE,FONTANA,CA,92337,US,,AMZLAX9,USD,C&I,Customer,Active,dummy@tavant.com,,AMZLAX9,Western,
"Amazon LBB5 - Lubbock, TX",,1110 E. Hunter Rd.,Lubbock,TX,79403,US,1110 E. Hunter Rd.,Lubbock,TX,79403,US,,AMAZON19,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON19,Southern,
"Amazon LOU5 - Lanesville, IN",,4492 Crandall Lanesville Rd.NE,Lanesville,IN,47112,US,4492 Crandall Lanesville Rd.NE,Lanesville,IN,47112,US,,AMAZON56,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON56,Midwest,
"Amazon MCI9 - Liberty, MO",,3000 Campbell Dr.,Liberty,MO,64068,US,3000 Campbell Dr.,Liberty,MO,64068,US,,AMAZON59,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON59,Midwest,
"Amazon MDT9 - Tremont, PA",,7 E Franklin Road,Tremont,PA,17981,US,7 E Franklin Road,Tremont,PA,17981,US,,AMZMDT9,USD,C&I,Customer,Active,dummy@tavant.com,,AMZMDT9,Eastern,
"Amazon MDW2 - Joliet, IL",,250 EMERALD DRIVE,JOLIET,IL,60433,US,250 EMERALD DRIVE,JOLIET,IL,60433,US,866-495-8567,HYS-AMA2,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AMA2,Midwest,
"Amazon MDW6 - Romeoville, IL",,1125 Remington Blvd,Romeoville,IL,60446,US,1125 Remington Blvd,Romeoville,IL,60446,US,,AMAZON87,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON87,Midwest,
"Amazon MGE9 - Union City, GA",,3600 FLAT SHOALS ROAD,UNION CITY,GA,30291,US,3600 FLAT SHOALS ROAD,UNION CITY,GA,30291,US,,AMAZON43,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON43,Southern,
"Amazon MIA2 - Opa-locka, FL",,14250 Aviation Dr.,Opa Locka,FL,33054,US,14250 Aviation Dr.,Opa-locka,FL,33054,US,,AMAZON11,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON11,Southern,
"Amazon MLI - Campbellsville, KY",,1048 SOUTH COLUMBIA AVE,CAMPBELLSVILLE,KY,42718,US,1048 SOUTH COLUMBIA AVE,CAMPBELLSVILLE,KY,42718,US,,AMZMLI,USD,C&I,Customer,Active,dummy@tavant.com,,AMZMLI,Midwest,
"Amazon MLI1 - Davenport, IA",,2022 RESEARCH PARKWAY,DAVENPORT,IA,52806,US,2022 RESEARCH PARKWAY,DAVENPORT,IA,52806,US,,AMZMLI1,USD,C&I,Customer,Active,dummy@tavant.com,,AMZMLI1,Midwest,
"Amazon MQJ5 - Plainfield, IN",,1800 Smith Rd.,Plainfield,IN,46168,US,1800 Smith Rd.,Plainfield,IN,46168,US,,AMAZON30,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON30,Midwest,
"Amazon MQJ9 - Franklin, IN",,120 JIM BLACK ROAD,FRANKLIN,IN,46131,US,120 JIM BLACK ROAD,FRANKLIN,IN,46131,US,,AMAZON45,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON45,Midwest,
"Amazon MSP8 - Woodbury, MN",,11736 Hudson Rd,Woodbury,MN,55129,US,11736 Hudson Rd,Woodbury,MN,55129,US,,AMAZON71,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON71,Midwest,
"Amazon MTN1 - Wilmington, DE",,1025 BOXWOOD ROAD,WILMINGTON,DE,19804,US,1025 BOXWOOD ROAD,WILMINGTON,DE,19804,US,,HYS-AM15,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AM15,Eastern,
"Amazon MTN8 - Hagerstown, MD",,811 WESEL BLVD,HAGERSTOWN,MD,21740,US,811 WESEL BLVD,HAGERSTOWN,MD,21740,US,,AMAZON42,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON42,Eastern,
"Amazon OMA2 - Omaha, NE",,10809 S. 144th St.,Omaha,NE,68138,US,10809 S. 144th St.,Omaha,NE,68138,US,,AMAZON07,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON07,Midwest,
"Amazon OMA5 - Council Bluffs, IA",,3860 S 24th St.,Council Bluffs,IA,51501,US,3860 S 24th St.,Council Bluffs,IA,51501,US,,AMAZON58,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON58,Midwest,
"Amazon ORF2 - Chesapeake, VA",,5045 PORTSMOUTH BLVD,CHESAPEAKE,VA,23321,US,5045 PORTSMOUTH BLVD,CHESAPEAKE,VA,23321,US,,HYS-AMA4,USD,C&I,Customer,Active,dummy@tavant.com,,HYS-AMA4,Eastern,
"Amazon ORF3 - Suffolk, VA",,2020 Northgate Commerce Pkwy,Suffolk,VA,23435,US,2020 Northgate Commerce Pkwy,Suffolk,VA,23435,US,,AMAZON05,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON05,Eastern,
"Amazon ORF5 - Suffolk, VA",,1401 Enterprise Dr.,Suffolk,VA,23434,US,1401 Enterprise Dr.,Suffolk,VA,23434,US,,AMAZON63,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON63,Eastern,
"Amazon ORH5 - Uxbridge, MA",,515 Douglas St.,Uxbridge,MA,1569,US,515 Douglas St.,Uxbridge,MA,1569,US,,AMAZON73,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON73,Eastern,
"Amazon PAE2 - Arlington, WA",,4620 172nd St. NE,Arlington,WA,98223,US,4620 172nd St. NE,Arlington,WA,98223,US,,AMAZON70,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON70,Western,
"Amazon RBD5 - Irving, TX",,3500 S. Airfield Rd.,Irving,TX,75261,US,3500 S. Airfield Rd.,Irving,TX,75261,US,,AMAZON47,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON47,Southern,
"Amazon RDU2 - Smithfield, NC",,2095 West Market St.,Smithfield,NC,27577,US,2095 West Market St.,Smithfield,NC,27577,US,,AMAZON60,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON60,Southern,
"Amazon RDU9 - Graham, NC",,13875 Senator Ralph Scott Pkwy,Graham,NC,27302,US,13875 Senator Ralph Scott Pkwy,Graham,NC,27302,US,,AMAZON32,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON32,Southern,
"Amazon RFD3 - Elwood, IL",,4300 S. Brandon Rd.,Elwood,IL,60421,US,4300 S. Brandon Rd.,Elwood,IL,60421,US,,AMAZON93,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON93,Midwest,
"Amazon RIC4 - Richmond, VA",,5901 Richmond Henrico Turnpike,Richmond,VA,23242,US,5901 Richmond Henrico Turnpike,Richmond,VA,23242,US,,AMAZON99,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON99,Eastern,
"Amazon RNT9 - Fife, WA",,7449 45th St. Ct E,Fife,WA,98424,US,7449 45th St. Ct E,Fife,WA,98424,US,,AMAZON38,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON38,Western,
"Amazon RSW5 - Fort Meyers, FL",,16581 DOMESTIC AVE,FORT MEYERS,FL,33912,US,16581 DOMESTIC AVE,FORT MEYERS,FL,33912,US,,AMAZON41,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON41,Southern,
"Amazon SAC5 - Sacramento, CA",,8040 Metro Air Pkwy,Sacramento,CA,95836,US,8040 Metro Air Pkwy,Sacramento,CA,95836,US,,AMAZON14,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON14,Western,
"Amazon SAN5 - San Diego, CA",,7144 Otay Mesa Rd.,San Diego,CA,92154,US,7144 Otay Mesa Rd.,San Diego,CA,92154,US,,AMAZON66,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON66,Western,
"Amazon SAT3 - San Antonio, TX",,6806 CAL TURNER DRIVE,San Antonio,TX,78220,US,6806 CAL TURNER DRIVE,San Antonio,TX,78220,US,,AMZSAT3,USD,C&I,Customer,Active,dummy@tavant.com,,AMZSAT3,Southern,
"Amazon SAT9 - San Antonio, TX",,6611 Lancer Blvd,San Antonio,TX,78220,US,6611 Lancer Blvd,San Antonio,TX,78220,US,,AMAZON12,USD,C&I,Customer,Active,dummy@tavant.com,,AMAZON12,Southern,
