Name,AccountNumber,Account_ID__c,BillingCountry,BillingState,BillingCity,BillingPostalCode,BillingStreet,CurrencyIsoCode,Description,Industry,Phone,RecordTypeId,Site,TK_R12_Site_Number__c,Site_Status__c,Site_Name__c,TK_General_Comments__c,TK_R12_Account_Number__c,TKAMB2B_VAT__c,Website,WOD_2__Business_Units__c,WOD_2__Warranty_Account_Type__c,RSUPPLY_Account_Site__c,TK_Party_Site_ID__c,RSUPPLY_OracleAccountNumber__c,Fax,TK_Parent_Poem_Code__c,TK_Poem_Code__c,TK_Region__c,TKSVC_Invoice_Print_Method__c
TK NORTH LIBERTY IA (T1320008),T1320008,0014w00003lEEdFAAW,US,IA,NORTH LIBERTY,52317,2715 STONER CT,USD,,,,0123i000000zaIgAAI,,4076509,,THERMO KING SALES & SERVICE,,312252,NA,,TK - NA,Dealer,US-MN-STPAU-02,46666529,1000082096,,T1320,T1320008,Central,
TK JOPLIN MO (T2525002),T2525002,0014w00003lEEuFAAW,US,MO,SPRINGFIELD,65803,4901 EAST KEARNEY ST,USD,,,,0123i000000zaIgAAI,,2169983,,THERMO KING OF SPRINGFIELD LLC,,312225,,,TK - NA,Dealer,US-MO-SPRIN-01,28176376,1000082290,,T2525,T2525002,Central,
TK MULDROW OK (T2525003),T2525003,0014w00003lEEvhAAG,US,OK,Muldrow,74948,703 E Treat Rd,USD,,,417-862-1901,0123i000000zaIgAAI,,2406573,,THERMO KING OF TULSA LLC,,312218,,,TK - NA,Dealer,US-OK-TULSA-01,28978702,1000082047,,T2525,T2525003,Central,
TK RUSSELLVILLE AR (T2693),T2693,0014w00003lEF80AAG,US,AR,RUSSELLVILLE,72802-1576,38 FURNITURE RD,USD,,,479-968-1947,0123i000000zaIgAAI,,783455,,TRI STATE THERMO KING INC,,312355,,,TK - NA,Dealer,US-TN-MEMPH-01,12258978,1000082039,501-890-3428,T2695,T2693,Central,
TK ELKHART IN (T2805002),T2805002,0014w00003lEF99AAG,US,IN,ELKHART,46514-9203,2926 LILLIAN AVE,USD,,,574-264-1221,0123i000000zaIgAAI,,783652,,THERMO KING MIDWEST,,312249,,,TK - NA,Dealer,US-IN-INDIA-01,12259175,1000082053,317-243-4488,T2820,T2805002,Central,
TK FORT PIERCE FL (T2835),T2835,0014w00003lEFB7AAO,US,FL,FORT PIERCE,34945,7325 PRUITT RESEARCH ROAD,USD,,,772-465-2530,0123i000000zaIgAAI,,4740937,,THERMO KING OF ORLANDO,,312449,,,TK - NA,Dealer,US-MS-RICHL-01,47378723,1000102713,772-465-2567,T2835001,T2835,East,
TK LEXINGTON KY (T2840004),T2840004,0014w00003lEFI5AAO,US,KY,LEXINGTON,40509-9428,371 CUTTERS HILL CT,USD,,,606-263-3312,0123i000000zaIgAAI,,783187,,TRANSPORT SPECIALISTS,,312426,,,TK - NA,Dealer,US-OH-CINCI-01,12258710,1000082030,606-263-1357,T2840,T2840004,Central,
TK DORAVILLE GA (T2910004),T2910004,0014w00003lEFItAAO,US,GA,DORAVILLE,30340-1530,2490 WEAVER WAY,USD,,,,0123i000000zaIgAAI,,783011,,THERMO KING OF BIRMINGHAM,,312637,,,TK - NA,Dealer,US-AL-MONTG-01,27215594,1000082122,,T0690,T2910004,East,
TK HAMMOND LA (T5001004),T5001004,0014w00003lEFNgAAO,US,LA,BATON ROUGE,70805-7548,7387 E INDUSTRIAL DR,USD,"Hammond, LA",,,0123i000000zaIgAAI,,2113913,,TS REFRIGERATION SERVICE LLC,,312882,,,TK - NA,Dealer,US-LA-BNROU-01,28006776,1000082052,,T5001,T5001004,West,
TK TEMPLE TX (K1011),K1011,0014w00004AIFsCAAX,US,TX,Temple,76501,575 Northpoint Dr,USD,Eventually replacing TK Austin Location,,(254) 534-6510,0123i000000zaIgAAI,,4437615,,THERMO KING OF HOUSTON LLC,,783859,,,TK - NA,Dealer,US-TX-HOUST-01,47063508,1000003244,,K1000,K1011,West,
TS Refrigeration (Ryder Capital City),9950,001Ot000015wiOoIAI,US,LA,BATON ROUGE,70805-7548,7387 E INDUSTRIAL AVE,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,783762,,,,312882,NA,,TK - NA,Customer,,12259286,,,,9950,,One Invoice All Claims
Forth's Food Service,13263,001Ot000015wiRtIAI,US,WV,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,SVCSVC13263,N/A,,TK - NA,Customer,,,,,,13263,,One Invoice All Claims
"Conecuh Sausage Co., Inc.",13265,001Ot000015wiRuIAI,US,AL,EVERGREEN,36401,200 INDUSTIAL PARK,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,782674,,,,312849,N/A,,TK - NA,Customer,,12258197,,,,13265,,One Invoice One Claim
Summitt Trucking,13267,001Ot000015wiRvIAI,US,IN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,313027,N/A,,TK - NA,Customer,,,,,,13267,,One Invoice All Claims
Don Hummer Trucking,13680,001Ot000015wiTVIAY,US,IA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,673486,N/A,,TK - NA,Customer,,,,,,13680,,One Invoice One Claim
Alliance Shippers Inc.,13687,001Ot000015wiTWIAY,US,CA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,673558,N/A,,TK - NA,Customer,,,,,,13687,,One Invoice One Claim
"NETS Trailer Leasing of NJ, LLC",13688,001Ot000015wiTXIAY,US,NJ,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,571673,N/A,,TK - NA,Customer,,,,,,13688,,One Invoice One Claim
Lessors Inc,13695,001Ot000015wiTYIAY,US,MN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,677580,N/A,,TK - NA,Customer,,,,,,13695,,One Invoice One Claim
"Sunland Distribution of Florida, Inc.",13698,001Ot000015wiTZIAY,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,682018,N/A,,TK - NA,Customer,,,,,,13698,,One Invoice One Claim
Glory Transportation,6356,001Ot000015wiV7IAI,US,AR,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312184,N/A,,TK - NA,Customer,,,,,,6356,,One Invoice All Claims
"Hurricane Express, Inc.",6437,001Ot000015wiV8IAI,US,OK,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312189,N/A,,TK - NA,Customer,,,,,,6437,,One Invoice One Claim
JB Hunt Transport Inc,6480,001Ot000015wiV9IAI,US,AR,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,77180,N/A,,TK - NA,Customer,,,,,,6480,,One Invoice One Claim
"JKC Trucking, Inc.",6505,001Ot000015wiVAIAY,US,IL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312172,N/A,,TK - NA,Customer,,,,,,6505,,One Invoice One Claim
Johnson Feed Inc,6512,001Ot000015wiVBIAY,US,SD,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312382,N/A,,TK - NA,Customer,,,,,,6512,,One Invoice All Claims
Lyons Transportation,6598,001Ot000015wiVCIAY,US,CA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312843,N/A,,TK - NA,Customer,,,,,,6598,,One Invoice All Claims
Normandin Transit,6697,001Ot000015wiVDIAY,CA,QC,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,313010,N/A,,TK - NA,Customer,,,,,,6697,,One Invoice All Claims
Storey Trucking,683,001Ot000015wiVEIAY,US,AL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312460,N/A,,TK - NA,Customer,,,,,,683,,One Invoice All Claims
"Kennesaw Transportation, Inc.",9871,001Ot000015wiWjIAI,US,GA,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,745998,0,,TK - NA,Customer,,,,,,9871,,One Invoice One Claim
Chef For Hire,9872,001Ot000015wiWkIAI,US,IN,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,Manual Review,727818,NA,,TK - NA,Customer,,,,,,9872,,One Invoice All Claims
Farmers Trans Canada,9873,001Ot000015wiWlIAI,CA,MB,,,,CAD,,Transport,,0123i000000zaIoAAI,,,,,,741798,0,,TK - NA,Customer,,,,,,9873,,One Invoice One Claim
North X Logistics LTD,9878,001Ot000015wiWmIAI,CA,AB,,,,CAD,,Transport Refrigeration,,0123i000000zaIoAAI,,,,,,749478,0,,TK - NA,Customer,,,,,,9878,,One Invoice One Claim
Charger Logistics - USA,9879,001Ot000015wiWnIAI,US,IN,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,415934,NA,,TK - NA,Customer,,,,,,9879,,One Invoice One Claim
TK FALMOUTH ME (D0835003),D0835003,0014w000044tesZAAQ,US,ME,FALMOUTH,04105,110 GRAY RD,USD,,,,0123i000000zaIgAAI,,3877174,,THERMO KING NORTHEAST LLC,,312848,,,TK - NA,Dealer,US-MA-SAUGU-01,46420410,1000108652,,D0835,D0835003,East,
TK ABURNDALE FL (G2280002),G2280002,0014w00004AGzRWAA1,US,FL,AUBURNDALE,33823,502 E BRIDGERS AVE,USD,Lakeland,,813-985-8502,0123i000000zaIgAAI,,4094160,,GULF COAST THERMO KING,,312246,NA,,TK - NA,Dealer,US-FL-TAMPA-01,46690989,1000082128,,G2280,G2280002,East,
TK LAFAYETTE IN (T2805004),T2805004,0014w00004AI9hXAAT,US,IN,LAFAYETTE,47909,3800 VETERAN's MEMORIAL PKWY,USD,"New Location, did not replace existing location",,,0123i000000zaIgAAI,,4481585,,THERMO KING MIDWEST,,312249,,,TK - NA,Dealer,US-IN-INDIA-01,47118440,1000082053,,T2820,T2805004,Central,
JB Rand Express (1441998 Ontario Inc),13589,001Ot000015wH2CIAU,CA,ON,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,586698,N/A,,TK - NA,Customer,,,,,,13589,,One Invoice All Claims
Waller Leasing Co Inc,13590,001Ot000015wH2DIAU,US,MO,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,587416,N/A,,TK - NA,Customer,,,,,,13590,,One Invoice One Claim
Decker Leasing/Truck Line,13593,001Ot000015wH2EIAU,US,IA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,590879,N/A,,TK - NA,Customer,,,,,,13593,,One Invoice All Claims
Light Speed Logistics Inc,11138,001Ot000015wH3jIAE,CA,AB,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312383,N/A,,TK - NA,Customer,,,,,,11138,,One Invoice One Claim
TW Transport Inc,11286,001Ot000015wH3kIAE,US,WA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312334,N/A,,TK - NA,Customer,,,,,,11286,,One Invoice One Claim
Earl Wharton,11303,001Ot000015wH3lIAE,US,MD,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312333,N/A,,TK - NA,Customer,,,,,,11303,,One Invoice All Claims
TriHi,11851,001Ot000015wHAWIA2,US,WI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,Active,|PLOVER,,312820,N/A,,TK - NA,Customer,,783697,,,,11851,,PO Prefix
Richard Wonnacott - GMP,11904,001Ot000015wHAXIA2,CA,MB,,,,CAD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,312703,N/A,,TK - NA,Customer,,,,,,11904,,One Invoice All Claims
Quirch Foods (Atlanta Location),11907,001Ot000015wHAYIA2,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312705,N/A,,TK - NA,Customer,,,,,,11907,,One Invoice All Claims
Supreme Carriers,11952,001Ot000015wHAZIA2,US,NE,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312761,N/A,,TK - NA,Customer,,,,,,11952,,One Invoice All Claims
"Tankstar USA, Inc",12555,001Ot000015wHoQIAU,US,WI,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312785,N/A,,TK - NA,Customer,,,,,,12555,,One Invoice One Claim
Boyle Transportation,12704,001Ot000015wHoRIAU,US,MA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,335049,N/A,,TK - NA,Customer,,,,,,12704,,One Invoice One Claim
Brach Trucking Inc,13317,001Ot000015wHwMIAU,US,CO,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,322912,N/A,,TK - NA,Customer,,,,,,13317,,One Invoice All Claims
Bonnie Plants Inc,13319,001Ot000015wHwNIAU,US,AL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,402690,N/A,,TK - NA,Customer,,,,,,13319,,One Invoice One Claim
Infinity Transportation Logistics,13324,001Ot000015wHwOIAU,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312846,N/A,,TK - NA,Customer,,,,,,13324,,One Invoice One Claim
Elgin Equipment Leasing/BEK,13619,001Ot000015wHy6IAE,US,IL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,617018,N/A,,TK - NA,Customer,,,,,,13619,,One Invoice One Claim
"Smith Trucking, Inc. - Worthington MN",13621,001Ot000015wHy7IAE,US,MN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,617793,N/A,,TK - NA,Customer,,,,,,13621,,One Invoice One Claim
Coastal Carriers Truck Lines LLC,13627,001Ot000015wHy8IAE,US,MO,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,619018,N/A,,TK - NA,Customer,,,,,,13627,,One Invoice One Claim
Dickinson Fleet Nestle Only,13636,001Ot000015wHy9IAE,US,IN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,624315,N/A,,TK - NA,Customer,,,,,,13636,,One Invoice One Claim
Czech Brothers Trucking,13646,001Ot000015wHyAIAU,US,FL,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,Manual Review,637358,N/A,,TK - NA,Customer,,,,,,13646,,One Invoice All Claims
Bruno's Trucking,12521,001Ot000015wICYIA2,US,MN,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312957,N/A,,TK - NA,Customer,,,,,,12521,,One Invoice All Claims
TK Rock Island IL,T1030,001Ot000015wICdIAM,US,IL,Rock Island,61201,3900 81st Avenue West,USD,,,309-787-6177,0123i000000zaIgAAI,,,,THERMO KING QUAD CITIES INC,,,,,TK - NA,Dealer,US-IL-RKISL-01,,1000082025,309-787-8693,,T1030,,
First Group (L),639,001Ot000015wIMFIA2,US,OH,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312331,N/A,,TK - NA,Customer,,,,,,639,,One Invoice One Claim
The Sygma Network - Columbus OH,661,001Ot000015wIMGIA2,US,OH,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312461,N/A,,TK - NA,Customer,,,,,,661,,One Invoice One Claim
Cardinal Logistics Management,11638,001Ot000015wIRJIA2,US,NC,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,1096999,N/A,,TK - NA,Customer,,,,,,11638,,One Invoice One Claim
"LW  Miller Transportation Holdings, LLC",11652,001Ot000015wIRKIA2,US,UT,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,658851,N/A,,TK - NA,Customer,,,,,,11652,,One Invoice All Claims
"Great Taste of Texas, Inc.",11673,001Ot000015wIRLIA2,US,TX,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312836,N/A,,TK - NA,Customer,,,,,,11673,,One Invoice One Claim
"Southern Ag Carriers, Inc.",11719,001Ot000015wIRMIA2,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,389033,N/A,,TK - NA,Customer,,,,,,11719,,One Invoice One Claim
"LAD Truck Lines, Inc.",11768,001Ot000015wIRNIA2,US,GA,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312223,N/A,,TK - NA,Customer,,,,,,11768,,One Invoice All Claims
PAM Transport Inc,11864,001Ot000015wIROIA2,US,AR,,,,USD,,Refrigerated Transportation,,0123i000000zaIoAAI,,,,,,312746,N/A,,TK - NA,Customer,,,,,,11864,,One Invoice All Claims
TK Springfield IL,T1030001,001Ot000015wIUIIA2,US,IL,Springfield,82707,3410 Remington Street,USD,,,217-525-6011,0123i000000zaIgAAI,,,,THERMO KING QUAD CITIES INC,,,,,TK - NA,Dealer,US-IL-RKISL-01,,1000082025,217-525-6068,,T1030001,,
Indian Hills Trucking- Fed Ex,9921,001Ot000015wIcRIAU,US,MO,,,,USD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,1126738,NA,,TK - NA,Customer,,,,,,9921,,One Invoice All Claims
Run Rite Freight Systems Inc,9922,001Ot000015wIcSIAU,CA,MB,,,,CAD,,Other Support Activities for Road Transportation,,0123i000000zaIoAAI,,,,,,808138,NA,,TK - NA,Customer,,,,,,9922,,One Invoice One Claim
