Name,WOD_2__Business_Units__c,WOD_2__Description__c,WOD_2__Fault_Location_Level__c,WOD_2__Standard_Labor_Hour__c,VRM_Resolution_Code__c,VRM_External_Id__c,VRM_Failure_Code__c
-12 Volt Power Supply,VRM-NA,-12 Volt Power Supply,,,,-12 Volt Power Supply,
Factory Wiring Incorrect,VRM-NA,Factory Wiring Incorrect,,,,Factory Wiring Incorrect,
Precision Corner Adjustment,VRM-NA,Precision Corner Adjustment,,,,Precision Corner Adjustment,
Contact Points Damaged,VRM-NA,Contact Points Damaged,,,,Contact Points Damaged,
Low Pressure Switch Fails Closed,VRM-NA,Low Pressure Switch Fails Closed,,,,Low Pressure Switch Fails Closed,
Low Pressure Switch Fails Open,VRM-NA,Low Pressure Switch Fails Open,,,,Low Pressure Switch Fails Open,
Switch Failure,VRM-NA,Switch Failure,,,,Switch Failure,
Aluminum Casting Failure,VRM-NA,Aluminum Casting Failure,,,,Aluminum Casting Failure,
Bearing Race Missing,VRM-NA,Bearing Race Missing,,,,Bearing Race Missing,
Bull Gear Broken,VRM-NA,Bull Gear Broken,,,,Bull Gear Broken,
Case Broken,VRM-NA,Case Broken,,,,Case Broken,
Charred Failure Both Ends,VRM-NA,Charred Failure Both Ends,,,,Charred Failure Both Ends,
Charred Failure one end,VRM-NA,Charred Failure one end,,,,Charred Failure one end,
Control Bearing Seized,VRM-NA,Control Bearing Seized,,,,Control Bearing Seized,
Factory Wiring Loose,VRM-NA,Factory Wiring Loose,,,,Factory Wiring Loose,
Flex Joint Insert Failure,VRM-NA,Flex Joint Insert Failure,,,,Flex Joint Insert Failure,
Gears Locked Up,VRM-NA,Gears Locked Up,,,,Gears Locked Up,
Input Bearing Failed,VRM-NA,Input Bearing Failed,,,,Input Bearing Failed,
Motor Using Excessive Current,VRM-NA,Motor Using Excessive Current,,,,Motor Using Excessive Current,
No holes in shaft,VRM-NA,No holes in shaft,,,,No holes in shaft,
Noise Excessive,VRM-NA,Noise Excessive,,,,Noise Excessive,
Output Bearing Failed,VRM-NA,Output Bearing Failed,,,,Output Bearing Failed,
Output Seal Leaking,VRM-NA,Output Seal Leaking,,,,Output Seal Leaking,
Output Seal Missing,VRM-NA,Output Seal Missing,,,,Output Seal Missing,
Output Shaft Broken,VRM-NA,Output Shaft Broken,,,,Output Shaft Broken,
Phase Burned Both Ends,VRM-NA,Phase Burned Both Ends,,,,Phase Burned Both Ends,
Phase Burned One End,VRM-NA,Phase Burned One End,,,,Phase Burned One End,
Phase To Ground Short,VRM-NA,Phase To Ground Short,,,,Phase To Ground Short,
Phase To Phase Open,VRM-NA,Phase To Phase Open,,,,Phase To Phase Open,
Phase To Phase Short,VRM-NA,Phase To Phase Short,,,,Phase To Phase Short,
Seal Leaking,VRM-NA,Seal Leaking,,,,Seal Leaking,
Seam Leaking,VRM-NA,Seam Leaking,,,,Seam Leaking,
Snap Ring Failed,VRM-NA,Snap Ring Failed,,,,Snap Ring Failed,
Steering arm loose,VRM-NA,Steering arm loose,,,,Steering arm loose,
Steering Gearmotor Failed,VRM-NA,Steering Gearmotor Failed,,,,Steering Gearmotor Failed,
Steering Motor Failed,VRM-NA,Steering Motor Failed,,,,Steering Motor Failed,
Thermal Protection Failure,VRM-NA,Thermal Protection Failure,,,,Thermal Protection Failure,
Tow Pin Failure,VRM-NA,Tow Pin Failure,,,,Tow Pin Failure,
Worm Broken,VRM-NA,Worm Broken,,,,Worm Broken,
Oil Reservoir Empty,VRM-NA,Oil Reservoir Empty,,,,Oil Reservoir Empty,
Seal Missing,VRM-NA,Seal Missing,,,,Seal Missing,
Phase To Phase Resistance Unbalanced,VRM-NA,Phase To Phase Resistance Unbalanced,,,,Phase To Phase Resistance Unbalanced,
Plastic End Cap Missing,VRM-NA,Plastic End Cap Missing,,,,Plastic End Cap Missing,
Rotor Failed,VRM-NA,Rotor Failed,,,,Rotor Failed,
Short In Junction Box,VRM-NA,Short In Junction Box,,,,Short In Junction Box,
Single Phasing,VRM-NA,Single Phasing,,,,Single Phasing,
Coupling Failure,VRM-NA,Coupling Failure,,,,Coupling Failure,
Input Seal Leaking,VRM-NA,Input Seal Leaking,,,,Input Seal Leaking,
Input Shaft Broken,VRM-NA,Input Shaft Broken,,,,Input Shaft Broken,
Lug Bolts Broken,VRM-NA,Lug Bolts Broken,,,,Lug Bolts Broken,
Mounting Bolts Broken,VRM-NA,Mounting Bolts Broken,,,,Mounting Bolts Broken,
Threads Missing,VRM-NA,Threads Missing,,,,Threads Missing,
Diaphragm Faulty,VRM-NA,Diaphragm Faulty,,,,Diaphragm Faulty,
Bead Damaged,VRM-NA,Bead Damaged,,,,Bead Damaged,
Corrosion On Wheel,VRM-NA,Corrosion On Wheel,,,,Corrosion On Wheel,
Galvanizing Burrs,VRM-NA,Galvanizing Burrs,,,,Galvanizing Burrs,
Rim Damaged,VRM-NA,Rim Damaged,,,,Rim Damaged,
Tire Leaking Air,VRM-NA,Tire Leaking Air,,,,Tire Leaking Air,
Tire Split,VRM-NA,Tire Split,,,,Tire Split,
Tube Pinched,VRM-NA,Tube Pinched,,,,Tube Pinched,
Valve Stem Leaking,VRM-NA,Valve Stem Leaking,,,,Valve Stem Leaking,
Valve Stem Missing,VRM-NA,Valve Stem Missing,,,,Valve Stem Missing,
Latch Inoperable,VRM-NA,Latch Inoperable,,,,Latch Inoperable,
OW Timer Doesn't Break Safety,VRM-NA,OW Timer Doesn't Break Safety,,,,OW Timer Doesn't Break Safety,
OW Timer Doesn't Hold Safety,VRM-NA,OW Timer Doesn't Hold Safety,,,,OW Timer Doesn't Hold Safety,
Run Microswitch Fails Closed,VRM-NA,Run Microswitch Fails Closed,,,,Run Microswitch Fails Closed,
Run Microswitch Fails Open,VRM-NA,Run Microswitch Fails Open,,,,Run Microswitch Fails Open,
Safety Microswitch Fails Closed,VRM-NA,Safety Microswitch Fails Closed,,,,Safety Microswitch Fails Closed,
Safety Microswitch Fails Open,VRM-NA,Safety Microswitch Fails Open,,,,Safety Microswitch Fails Open,
Solenoid Valve Fails,VRM-NA,Solenoid Valve Fails,,,,Solenoid Valve Fails,
Terminal Block Defective,VRM-NA,Terminal Block Defective,,,,Terminal Block Defective,
Terminal Strip Stripped Out,VRM-NA,Terminal Strip Stripped Out,,,,Terminal Strip Stripped Out,
Tower Ahead Forward,VRM-NA,Tower Ahead Forward,,,,Tower Ahead Forward,
Tower Behind Forward,VRM-NA,Tower Behind Forward,,,,Tower Behind Forward,
Tower Behind Reverse,VRM-NA,Tower Behind Reverse,,,,Tower Behind Reverse,
Tower Box Cover Fell Off,VRM-NA,Tower Box Cover Fell Off,,,,Tower Box Cover Fell Off,
Tower Ahead Reverse,VRM-NA,Tower Ahead Reverse,,,,Tower Ahead Reverse,
Bearing Seized,VRM-NA,Bearing Seized,,,,Bearing Seized,
120 Volt Input/Output Failure,VRM-NA,120 Volt Input/Output Failure,,,,120 Volt Input/Output Failure,
5 Volt Power Supply Failure,VRM-NA,5 Volt Power Supply Failure,,,,5 Volt Power Supply Failure,
Keypad Error 13,VRM-NA,Keypad Error 13,,,,Keypad Error 13,
Service Tool Test Failed,VRM-NA,Service Tool Test Failed,,,,Service Tool Test Failed,
12 Volt Power Supply,VRM-NA,12 Volt Power Supply,,,,12 Volt Power Supply,
System out of Alignment,VRM-NA,System out of Alignment,,,,System out of Alignment,
Corrosion,VRM-NA,Corrosion,,,,Corrosion,
Impeller Seized,VRM-NA,Impeller Seized,,,,Impeller Seized,
Light Burned Out,VRM-NA,Light Burned Out,,,,Light Burned Out,
Weld Cracked,VRM-NA,Weld Cracked,,,,Weld Cracked,
Cable Broken,VRM-NA,Cable Broken,,,,Cable Broken,
Cable Pulled Out,VRM-NA,Cable Pulled Out,,,,Cable Pulled Out,
Gasket Degrading,VRM-NA,Gasket Degrading,,,,Gasket Degrading,
Gasket Pushing Out,VRM-NA,Gasket Pushing Out,,,,Gasket Pushing Out,
Threads Mismanufactured,VRM-NA,Threads Mismanufactured,,,,Threads Mismanufactured,
Cracked Pivot Swivel,VRM-NA,Cracked Pivot Swivel,,,,Cracked Pivot Swivel,
Replace Component,VRM-NA,Replace Component,,,,Replace Component,
Contact Warranty Department,VRM-NA,Contact Warranty Department,,,,Contact Warranty Department,
Weld In Field,VRM-NA,Weld In Field,,,,Weld In Field,
Repair Component,VRM-NA,Repair Component,,,,Repair Component,
Remove Plugs,VRM-NA,Remove Plugs,,,,Remove Plugs,
Repair Wiring,VRM-NA,Repair Wiring,,,,Repair Wiring,
Adjust Span Sensor,VRM-NA,Adjust Span Sensor,,,,Adjust Span Sensor,
Replace Steering Gearbox,VRM-NA,Replace Steering Gearbox,,,,Replace Steering Gearbox,
Replace Tower Box,VRM-NA,Replace Tower Box,,,,Replace Tower Box,
Replace Seal,VRM-NA,Replace Seal,,,,Replace Seal,
Replace Gearmotor,VRM-NA,Replace Gearmotor,,,,Replace Gearmotor,
Replace Motor Module,VRM-NA,Replace Motor Module,,,,Replace Motor Module,
Rebuild Gearbox,VRM-NA,Rebuild Gearbox,,,,Rebuild Gearbox,
Repair GB,VRM-NA,Repair GB,,,,Repair GB,
Replace Span Cable,VRM-NA,Replace Span Cable,,,,Replace Span Cable,
Re-align System,VRM-NA,Re-align System,,,,Re-align System,
Replace 2hp BP Motor,VRM-NA,Replace 2hp BP Motor,,,,Replace 2hp BP Motor,
Replace 2hp BP Complete,VRM-NA,Replace 2hp BP Complete,,,,Replace 2hp BP Complete,
Replace 5 or 7.5 hp BP Motor,VRM-NA,Replace 5 or 7.5 hp BP Motor,,,,Replace 5 or 7.5 hp BP Motor,
Replace 5 or 7.5 hp BP Complete,VRM-NA,Replace 5 or 7.5 hp BP Complete,,,,Replace 5 or 7.5 hp BP Complete,
Replace Pivot Swivel,VRM-NA,Replace Pivot Swivel,,,,Replace Pivot Swivel,
Coil Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Coil Failure-Replace Component-1hr,a83cf0000002qNVAAY
Mis-manufactured-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Mis-manufactured-Replace Component-1hr,a83cf0000002qNWAAY
Leaking-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Leaking-Replace Component-1hr,a83cf0000002qNXAAY
Won't close-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Won't close-Replace Component-1hr,a83cf0000002qNYAAY
Other -- Fill in Comments-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Other -- Fill in Comments-Replace Component-1hr,a83cf0000002qNZAAY
Part Dimensions Incorrect-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Part Dimensions Incorrect-Replace Component-1hr,a83cf0000002qNaAAI
Shipment Damage-Replace Component-0hr,VRM-NA,,,0.0,a83cf0000002qQjAAI,Shipment Damage-Replace Component-0hr,a83cf0000002qNbAAI
Will Not Rotate-Replace Component-1.5hr,VRM-NA,,,1.5,a83cf0000002qQjAAI,Will Not Rotate-Replace Component-1.5hr,a83cf0000002qNcAAI
Calibration changed/out of spec-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Calibration changed/out of spec-Replace Component-1hr,a83cf0000002qNdAAI
Contact Points Burned-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Contact Points Burned-Replace Component-1hr,a83cf0000002qNeAAI
Contactor Chattering-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Contactor Chattering-Replace Component-1hr,a83cf0000002qNfAAI
Contactor Locked in-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Contactor Locked in-Replace Component-1hr,a83cf0000002qNgAAI
Contactor not pulling in-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Contactor not pulling in-Replace Component-1hr,a83cf0000002qNhAAI
Disconnect Switch Fails Closed-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Disconnect Switch Fails Closed-Replace Component-1hr,a83cf0000002qNiAAI
Disconnect Switch Fails Open-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Disconnect Switch Fails Open-Replace Component-1hr,a83cf0000002qNjAAI
Electrical Component Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Electrical Component Failure-Replace Component-1hr,a83cf0000002qNkAAI
Electrical Specs Not Met-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Electrical Specs Not Met-Replace Component-1hr,a83cf0000002qNlAAI
Fuse Block Defective-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Fuse Block Defective-Replace Component-1hr,a83cf0000002qNmAAI
Grounding Block Defective-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Grounding Block Defective-Replace Component-1hr,a83cf0000002qNnAAI
Housing Damaged-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Housing Damaged-Replace Component-1hr,a83cf0000002qNoAAI
Intermittent Operations-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Intermittent Operations-Replace Component-1hr,a83cf0000002qNpAAI
Leads corroded/broken-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Leads corroded/broken-Replace Component-1hr,a83cf0000002qNqAAI
Cracked Liner-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Cracked Liner-Replace Component-1hr,a83cf0000002qNrAAI
Flow not registering-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Flow not registering-Replace Component-1hr,a83cf0000002qNsAAI
Head Filling with Water-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Head Filling with Water-Replace Component-1hr,a83cf0000002qNtAAI
Signal Weak-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Signal Weak-Replace Component-1hr,a83cf0000002qNuAAI
Contact Warranty Department - Not within-Contact Warranty Department-0hr,VRM-NA,,,0.0,a83cf0000002qQkAAI,Contact Warranty Department - Not within-Contact Warranty Department-0hr,a83cf0000002qNvAAI
Hose Pulled off-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Hose Pulled off-Replace Component-2hr,a83cf0000002qNwAAI
Hose Split-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Hose Split-Replace Component-2hr,a83cf0000002qNxAAI
Insufficient Clamping Force-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Insufficient Clamping Force-Replace Component-2hr,a83cf0000002qNyAAI
Mis-manufactured-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Mis-manufactured-Replace Component-2hr,a83cf0000002qNWAAY
Part Dimensions Incorrect-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Part Dimensions Incorrect-Replace Component-2hr,a83cf0000002qNaAAI
Ultraviolet Degradation-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Ultraviolet Degradation-Replace Component-2hr,a83cf0000002qNzAAI
Signal Weak-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Signal Weak-Replace Component-2hr,a83cf0000002qNuAAI
Electrical Component Failure-Replace Component-2hr,VRM-NA,,,2.0,a83cf0000002qQjAAI,Electrical Component Failure-Replace Component-2hr,a83cf0000002qNkAAI
Dent in Pipe-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Dent in Pipe-Replace Component-1hr,a83cf0000002qO0AAI
Finish Appearance Faulty-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Finish Appearance Faulty-Replace Component-1hr,a83cf0000002qO1AAI
Flanges not Square-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Flanges not Square-Replace Component-1hr,a83cf0000002qO2AAI
Flanges Out of Time-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Flanges Out of Time-Replace Component-1hr,a83cf0000002qO3AAI
Galvanizing Bare Spots-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Galvanizing Bare Spots-Replace Component-1hr,a83cf0000002qO4AAI
Galvanizing Quality-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Galvanizing Quality-Replace Component-1hr,a83cf0000002qO5AAI
Hitch ball bolt failed-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Hitch ball bolt failed-Replace Component-1hr,a83cf0000002qO6AAI
Hole in Pipe-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Hole in Pipe-Replace Component-1hr,a83cf0000002qO7AAI
Seam Split-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Seam Split-Replace Component-1hr,a83cf0000002qO8AAI
Seam Split-Weld In Field-1hr,VRM-NA,,,1.0,a83cf0000002qQlAAI,Seam Split-Weld In Field-1hr,a83cf0000002qO8AAI
Galvanizing Excessive-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Galvanizing Excessive-Replace Component-1hr,a83cf0000002qO9AAI
Hole in Pipe-Weld In Field-1hr,VRM-NA,,,1.0,a83cf0000002qQlAAI,Hole in Pipe-Weld In Field-1hr,a83cf0000002qO7AAI
Weld Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Weld Failure-Replace Component-1hr,a83cf0000002qOAAAY
Weld Failure-Weld In Field-1hr,VRM-NA,,,1.0,a83cf0000002qQlAAI,Weld Failure-Weld In Field-1hr,a83cf0000002qOAAAY
Weld Missing-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Weld Missing-Replace Component-1hr,a83cf0000002qOBAAY
Weld Missing-Repair Component-1hr,VRM-NA,,,1.0,a83cf0000002qQmAAI,Weld Missing-Repair Component-1hr,a83cf0000002qOBAAY
Plug Removal-Remove Plugs-2hr,VRM-NA,,,2.0,a83cf0000002qQnAAI,Plug Removal-Remove Plugs-2hr,a83cf0000002qOCAAY
Communication Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Communication Failure-Replace Component-1hr,a83cf0000002qODAAY
5 Volt Power Supply-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,5 Volt Power Supply-Replace Component-1hr,a83cf0000002qOEAAY
Backlight Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Backlight Failure-Replace Component-1hr,a83cf0000002qOFAAY
Cold Solder Joint-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Cold Solder Joint-Replace Component-1hr,a83cf0000002qOGAAY
Display Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Display Failure-Replace Component-1hr,a83cf0000002qOHAAY
Encoder Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Encoder Failure-Replace Component-1hr,a83cf0000002qOIAAY
External Connection Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,External Connection Failure-Replace Component-1hr,a83cf0000002qOJAAY
Harness Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Harness Failure-Replace Component-1hr,a83cf0000002qOKAAY
Keypad Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Keypad Failure-Replace Component-1hr,a83cf0000002qOLAAY
PCB Cracked-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,PCB Cracked-Replace Component-1hr,a83cf0000002qOMAAY
Percent timer runs at 100% at all times-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Percent timer runs at 100% at all times-Replace Component-1hr,a83cf0000002qONAAY
Pressure Reading Incorrect-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Pressure Reading Incorrect-Replace Component-1hr,a83cf0000002qOOAAY
Relay Failure-Replace Component-1hr,VRM-NA,,,1.0,a83cf0000002qQjAAI,Relay Failure-Replace Component-1hr,a83cf0000002qOPAAY
