Name,CurrencyIsoCode,tvnt__Display_criteria__c,tvnt__Mandatory__c,tvnt__Matching_criteria__c,tvnt__Parent_Question_Association__c,tvnt__Question__c,tvnt__Questionnaire__c,tvnt__Section__c,tvnt__Sequence__c
3.3 – Failure Code – Software,USD,Software,False,Any,a8Rcf00000060ADEAY,a8Scf000000o6S1EAI,a8Vcf0000000ouTEAQ,a8Wcf000000GqCLEA0,14.0
3.4 – Failure Code – Hardware,USD,Hardware,False,Any,a8Rcf00000060ADEAY,a8Scf000000o6TdEAI,a8Vcf0000000ouTEAQ,a8Wcf000000GqCLEA0,15.0
Claim Number,USD,,True,,,a8Scf000000o68fEAA,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,1.0
Part Number,USD,,True,,,a8Scf000000o6AHEAY,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,2.0
Terrain Type,USD,,True,,,a8Scf000000oBUvEAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,13.0
Failure Mode,USD,,True,,,a8Scf000000oB8LEAU,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,3.0
Parent Order,USD,,True,,,a8Scf000000oBI1EAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,4.0
Date Installed,USD,,True,,,a8Scf000000o6DVEAY,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,5.0
Tower,USD,,False,,,a8Scf000000oBEoEAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,6.0
Front or Rear,USD,,True,,,a8Scf000000oBLFEA2,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,7.0
GPS Coordinates,USD,,True,,,a8Scf000000oBMrEAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,8.0
Hours on Machine,USD,,True,,,a8Scf000000oBMsEAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,9.0
Centerdrive RPM,USD,,True,,,a8Scf000000oBOTEA2,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,10.0
Tire Size,USD,,True,,,a8Scf000000oBRhEAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,11.0
Maintenance Program – Schedule,USD,,True,,,a8Scf000000oBTJEA2,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,12.0
Soil Type,USD,,True,,,a8Scf000000oBWXEA2,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,14.0
Crop or Crop Rotation,USD,,False,,,a8Scf000000oBY9EAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,15.0
Oil Present and Full,USD,,False,,,a8Scf000000oBZlEAM,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,16.0
Shims Present,USD,,False,,,a8Scf000000oBbNEAU,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,17.0
Direction of Travel,USD,,False,,,a8Scf000000oBczEAE,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,18.0
Bow in Alignment,USD,,False,,,a8Scf000000oBebEAE,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,19.0
Solid State Motor Controller on Tower,USD,,False,,,a8Scf000000oBgDEAU,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,20.0
Bearing Failure,USD,,False,,,a8Scf000000oBhpEAE,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,21.0
"Failure Code (Seal,Oil / Bearing / Other)",USD,,True,,,a8Scf000000oBjREAU,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,22.0
Failure Code (Seal/Oil Leak),USD,Seal/Oil Leaks,True,Any,a8Rcf00000060oXEAQ,a8Scf000000oBl3EAE,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,23.0
Failure Code (Bearing Failures),USD,Bearing Failures,True,Any,a8Rcf00000060oXEAQ,a8Scf000000oBoHEAU,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,23.0
Failure Code (Other Failures),USD,Other Failures,True,Any,a8Rcf00000060oXEAQ,a8Scf000000oBptEAE,a8Vcf0000000sTREAY,a8Wcf000000Gs65EAC,23.0
Gearbox Type Selection,USD,,False,,,a8Scf000000oBrVEAU,a8Vcf0000000sTREAY,a8Wcf000000GsqrEAC,24.0
Date Code - Valley Gearbox,USD,Valley Gearbox,True,Any,a8Rcf00000060uzEAA,a8Scf000000oBt7EAE,a8Vcf0000000sTREAY,a8Wcf000000GsqrEAC,25.0
Claim #,USD,,True,Any,,a8Scf000000oCdtEAE,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,1.0
Parent Order #,USD,,True,Any,,a8Scf000000oCh7EAE,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,3.0
Dealer Name & No.,USD,,True,,,a8Scf000000oCfVEAU,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,2.0
Date Installed,USD,,True,Any,,a8Scf000000oCijEAE,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,4.0
Failed Tower #,USD,,True,Any,,a8Scf000000oCkLEAU,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,5.0
Failed Part #,USD,,True,Any,,a8Scf000000oClxEAE,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,6.0
Serial # (from nameplate),USD,,True,Any,,a8Scf000000oCnZEAU,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,7.0
Detail Motor Failure by Examination,USD,,False,Any,,a8Scf000000oCyrEAE,a8Vcf0000000YuXEAU,a8Wcf000000H5mTEAS,8.0
Type of Power Supply,USD,,True,Any,,a8Scf000000oCpBEAU,a8Vcf0000000YuXEAU,a8Wcf000000BvNxEAK,8.0
Gear Box Failure Type,USD,,False,Any,,a8Scf000000oCqnEAE,a8Vcf0000000YuXEAU,a8Wcf000000BvMLEA0,2.0
Other,USD,Other (Gearbox Failure),False,Any,,a8Scf000000oCsPEAU,a8Vcf0000000YuXEAU,a8Wcf000000BvMLEA0,3.0
Motor Failure Type,USD,,False,Any,,a8Scf000000oCu1EAE,a8Vcf0000000YuXEAU,a8Wcf000000H5mTEAS,3.0
Other (Motor Failure),USD,Other (Motor Failure),False,Any,,a8Scf000000oCsPEAU,a8Vcf0000000YuXEAU,a8Wcf000000H5mTEAS,5.0
Booster Pump Failure Type,USD,,False,Any,,a8Scf000000oCvdEAE,a8Vcf0000000YuXEAU,a8Wcf000000H5mTEAS,6.0
Other (Pump Failure),USD,Other (Pump Failure),False,Any,,a8Scf000000oCsPEAU,a8Vcf0000000YuXEAU,a8Wcf000000H5mTEAS,7.0
Electrical Validation,USD,,False,Any,,a8Scf000000oD25EAE,a8Vcf0000000YuXEAU,a8Wcf000000H5mTEAS,9.0
Date Code - VS 7000 Gearbox,USD,VS 7000 Gearbox,True,Any,a8Rcf00000060uzEAA,a8Scf000000od1NEAQ,a8Vcf0000000sTREAY,a8Wcf000000GsqrEAC,26.0
