Name,CatalogId,IsNavigational,ParentCategoryId
Pump Control Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Air Compressor,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Below Ground Guidance,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Cam Lines,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Corner Overhang Package,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Corner Sensor Box,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Corner Sequencing,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Corner Span Package,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Corner Spans and Overhangs,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Corner Upgrade,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Encompass,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
GPS Guidance,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
LRDU,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Sprinkler,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Steerable Drive Unit,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Tubing Harnesses,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8tGAE
Center Drive Repair,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Complete Center Drives,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Complete Gearboxes,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Drive Shaft Shields,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Drive Shafts,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Drive Train Conversions,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Engine Drive,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Gear Lube,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Gearbox Repair,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Tires and Rims,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
T-L Conversion,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
U-Joints,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8uGAE
Complete Tower Boxes,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8vGAE
Pivot Alignment,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8vGAE
Solid State Motor Controller,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8vGAE
Tower Box Conversion,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8vGAE
Tower Box Mechanical,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8vGAE
Tower Box Upgrades,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8vGAE
X-Tec,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8vGAE
Batteries,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Cable Accessories,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Collector Rings,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Control Boards and Modules,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Din Rails and Snap Tracks,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Cables,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Contactors,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Disconnect,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Meters,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Protective Devices,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Timers,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Transformers,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Wire,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Fuses & Circuit Breakers,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Micro Switches,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Percent Timers,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Power Supply,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Pressure Transducers,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Relays,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Solenoids,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Speciality Cables,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Switches,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Terminal Strips,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Battery,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Electrical Relays and Bases,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Pressure Switches,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
Terminal Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8wGAE
3 Wheel Drive,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
Agri-TRAC,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
Articulating 4-Wheel Drive,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
Articulating Track Drive,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
Loegering Tracks,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
RAAFT Track,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
Spider Wheel,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
Track Drive,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8xGAE
Below Ground Guidance,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Furrow Guidance,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
GPS Guidance,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Inlet Components,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Linear Alignment,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Linear Carts,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Linear Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Power Pedestal,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Above Ground Guidance,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8yGAE
Bender Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Booster Pumps,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Cable Protection Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Drive Unit Auto-Reverse Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Drop Span Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
End Gun Control Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
End of Field Stops Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Pump Connect,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Running Lights,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
VRI,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
X-TEC Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Machine Diagnostics,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8zGAE
Installation Manuals,0ZScf0000001NgvGAE,True,0ZGcf0000002Y90GAE
Owner's Manuals,0ZScf0000001NgvGAE,True,0ZGcf0000002Y90GAE
Owner's Manual,0ZScf0000001NgvGAE,True,0ZGcf0000002Y90GAE
Installation Manual,0ZScf0000001NgvGAE,True,0ZGcf0000002Y90GAE
Electrical Tools,0ZScf0000001NgvGAE,True,0ZGcf0000002Y91GAE
Field Mapping Tools,0ZScf0000001NgvGAE,True,0ZGcf0000002Y91GAE
Mechanical Tools,0ZScf0000001NgvGAE,True,0ZGcf0000002Y91GAE
Bracket and Mounts,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Drains and Couplers,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Fasteners,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Flanges and End Plates,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Flex Boots,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Half Clamps,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Hardware,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Overhang Accessories,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Overhang Cables,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Rubber Gaskets,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Span Clamps,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Span Transitions,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Truss Components,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Weldment Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Overhang Cable,0ZScf0000001NgvGAE,True,0ZGcf0000002Y92GAE
Boombacks,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Drop Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
End Guns,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Fixed Sprays,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Impact Sprinklers,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Rotating Sprays,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Sprinkler Fittings,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Sprinkler Gauges,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Sprinkler Nozzles,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Sprinkler Regulators,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Sprinkler Repair,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
U-Pipes,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Valves,0ZScf0000001NgvGAE,True,0ZGcf0000002Y93GAE
Add Span Packages,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Drive Unit Structure,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Overhang Packages,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Pipe & Stubs,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Pivot Flex Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Pivot Point,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Truss Angles,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Truss Rods,0ZScf0000001NgvGAE,True,0ZGcf0000002Y94GAE
Miscellaneous Merchandising,0ZScf0000001NgvGAE,True,0ZGcf0000002Y95GAE
