Name,WOD_2__Status__c,VRM_External_Id__c,VRM_Category__c,VRM_SubCategory__c,VRM_Failure_Resolution_Code__c
FaultCode33,True,Ancillary-Disconnect Panels-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSPAAY
FaultCode34,True,Ancillary-Disconnect Panels-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDkGAM,a83cf0000002qSRAAY
FaultCode35,True,Ancillary-Fertigation and Chemigation-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDlGAM,a83cf0000002qSPAAY
FaultCode36,True,Ancillary-Fertigation and Chemigation-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDlGAM,a83cf0000002qSRAAY
FaultCode37,True,Ancillary-Fertigation and Chemigation-Mis-manufactured-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDlGAM,a83cf0000002qSMAAY
FaultCode38,True,Ancillary-Flowmeters-Cracked Liner-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDmGAM,a83cf0000002qShAAI
FaultCode39,True,Ancillary-Flowmeters-Electrical Component Failure-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDmGAM,a83cf0000002qSaAAI
FaultCode40,True,Ancillary-Flowmeters-Flow not registering-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDmGAM,a83cf0000002qSiAAI
FaultCode41,True,Ancillary-Flowmeters-Head Filling with Water-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDmGAM,a83cf0000002qSjAAI
FaultCode42,True,Ancillary-Flowmeters-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDmGAM,a83cf0000002qSPAAY
FaultCode43,True,Ancillary-Flowmeters-Signal Weak-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDmGAM,a83cf0000002qSkAAI
FaultCode44,True,Ancillary-Generators and Engines-Contact Warranty Department - Not within-Contact Warranty Department-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDnGAM,a83cf0000002qSlAAI
FaultCode45,True,Ancillary-Phase Converters-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDpGAM,a83cf0000002qSPAAY
FaultCode46,True,Ancillary-Phase Converters-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDpGAM,a83cf0000002qSRAAY
FaultCode47,True,Ancillary-Phase Converters-Mis-manufactured-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDpGAM,a83cf0000002qSMAAY
FaultCode48,True,Ancillary-Pump Panels-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDqGAM,a83cf0000002qSPAAY
FaultCode49,True,Ancillary-Pump Panels-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDqGAM,a83cf0000002qSRAAY
FaultCode50,True,Ancillary-Pump Panels-Mis-manufactured-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDqGAM,a83cf0000002qSMAAY
FaultCode51,True,Ancillary-Pumping Options-Contact Warranty Department - Not within-Contact Warranty Department-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDwGAM,a83cf0000002qSlAAI
FaultCode52,True,Ancillary-Ring Lock Fittings-Hose Pulled off-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSmAAI
FaultCode53,True,Ancillary-Ring Lock Fittings-Hose Split-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSnAAI
FaultCode54,True,Ancillary-Ring Lock Fittings-Insufficient Clamping Force-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSoAAI
FaultCode55,True,Ancillary-Ring Lock Fittings-Mis-manufactured-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSpAAI
FaultCode56,True,Ancillary-Ring Lock Fittings-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSPAAY
FaultCode57,True,Ancillary-Ring Lock Fittings-Part Dimensions Incorrect-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSqAAI
FaultCode58,True,Ancillary-Ring Lock Fittings-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSRAAY
FaultCode59,True,Ancillary-Ring Lock Fittings-Ultraviolet Degradation-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDrGAM,a83cf0000002qSrAAI
FaultCode60,True,Ancillary-Soft Starters-Signal Weak-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDsGAM,a83cf0000002qSsAAI
FaultCode61,True,Ancillary-Soft Starters-Electrical Component Failure-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDsGAM,a83cf0000002qStAAI
FaultCode62,True,Ancillary-Soft Starters-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDsGAM,a83cf0000002qSPAAY
FaultCode63,True,Ancillary-Steel Tubing-Dent in Pipe-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSuAAI
FaultCode64,True,Ancillary-Steel Tubing-Finish Appearance Faulty-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSvAAI
FaultCode65,True,Ancillary-Steel Tubing-Flanges not Square-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSwAAI
FaultCode66,True,Ancillary-Steel Tubing-Flanges Out of Time-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSxAAI
FaultCode67,True,Ancillary-Steel Tubing-Galvanizing Bare Spots-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSyAAI
FaultCode68,True,Ancillary-Steel Tubing-Galvanizing Quality-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSzAAI
FaultCode69,True,Ancillary-Steel Tubing-Hitch ball bolt failed-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT0AAI
FaultCode70,True,Ancillary-Steel Tubing-Hole in Pipe-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT1AAI
FaultCode71,True,Ancillary-Steel Tubing-Mis-manufactured-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSMAAY
FaultCode72,True,Ancillary-Steel Tubing-Seam Split-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT2AAI
FaultCode73,True,Ancillary-Steel Tubing-Seam Split-Weld In Field-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT3AAI
FaultCode74,True,Ancillary-Steel Tubing-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSRAAY
FaultCode75,True,Ancillary-Steel Tubing-Galvanizing Excessive-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT4AAI
FaultCode76,True,Ancillary-Steel Tubing-Hole in Pipe-Weld In Field-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT5AAI
FaultCode77,True,Ancillary-Steel Tubing-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSPAAY
FaultCode78,True,Ancillary-Steel Tubing-Part Dimensions Incorrect-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSQAAY
FaultCode79,True,Ancillary-Steel Tubing-Weld Failure-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT6AAI
FaultCode80,True,Ancillary-Steel Tubing-Weld Failure-Weld In Field-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT7AAI
FaultCode81,True,Ancillary-Steel Tubing-Weld Missing-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT8AAI
FaultCode82,True,Ancillary-Steel Tubing-Weld Missing-Repair Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qT9AAI
FaultCode83,True,Ancillary-Steel Tubing-Hose Pulled off-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSmAAI
FaultCode84,True,Ancillary-Steel Tubing-Hose Split-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSnAAI
FaultCode85,True,Ancillary-Steel Tubing-Insufficient Clamping Force-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSoAAI
FaultCode86,True,Ancillary-Steel Tubing-Plug Removal-Remove Plugs-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qTAAAY
FaultCode87,True,Ancillary-Steel Tubing-Ultraviolet Degradation-Replace Component-2hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDtGAM,a83cf0000002qSrAAI
FaultCode88,True,Ancillary-Variable Frequency Drives-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDuGAM,a83cf0000002qSPAAY
FaultCode89,True,Ancillary-Variable Frequency Drives-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDuGAM,a83cf0000002qSRAAY
FaultCode90,True,Ancillary-Variable Frequency Drives-Mis-manufactured-Replace Component-1hr,0ZGcf0000002Y8rGAE,0ZGcf0000002YDuGAM,a83cf0000002qSMAAY
FaultCode91,True,Control Technology-AgSense-Communication Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDxGAM,a83cf0000002qTBAAY
FaultCode92,True,Control Technology-AgSense-Electrical Component Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDxGAM,a83cf0000002qSaAAI
FaultCode93,True,Control Technology-AgSense-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDxGAM,a83cf0000002qSPAAY
FaultCode94,True,Control Technology-AgSense-Part Dimensions Incorrect-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDxGAM,a83cf0000002qSQAAY
FaultCode95,True,Control Technology-AgSense-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDxGAM,a83cf0000002qSRAAY
FaultCode96,True,Control Technology-Complete Control Panels-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qSRAAY
FaultCode97,True,Control Technology-Complete Control Panels-5 Volt Power Supply-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTCAAY
FaultCode98,True,Control Technology-Complete Control Panels-Backlight Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTDAAY
FaultCode99,True,Control Technology-Complete Control Panels-Calibration changed/out of spec-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qSTAAY
FaultCode100,True,Control Technology-Complete Control Panels-Cold Solder Joint-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTEAAY
FaultCode101,True,Control Technology-Complete Control Panels-Communication Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTBAAY
FaultCode102,True,Control Technology-Complete Control Panels-Contact Points Burned-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qSUAAY
FaultCode103,True,Control Technology-Complete Control Panels-Contactor not pulling in-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qSXAAY
FaultCode104,True,Control Technology-Complete Control Panels-Display Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTFAAY
FaultCode105,True,Control Technology-Complete Control Panels-Electrical Specs Not Met-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qSbAAI
FaultCode106,True,Control Technology-Complete Control Panels-Encoder Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTGAAY
FaultCode107,True,Control Technology-Complete Control Panels-External Connection Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTHAAY
FaultCode108,True,Control Technology-Complete Control Panels-Harness Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTIAAY
FaultCode109,True,Control Technology-Complete Control Panels-Keypad Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTJAAY
FaultCode110,True,Control Technology-Complete Control Panels-Leads corroded/broken-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qSgAAI
FaultCode111,True,Control Technology-Complete Control Panels-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qSPAAY
FaultCode112,True,Control Technology-Complete Control Panels-PCB Cracked-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTKAAY
FaultCode113,True,Control Technology-Complete Control Panels-Percent timer runs at 100% at all times-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTLAAY
FaultCode114,True,Control Technology-Complete Control Panels-Pressure Reading Incorrect-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTMAAY
FaultCode115,True,Control Technology-Complete Control Panels-Relay Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTNAAY
FaultCode116,True,Control Technology-Complete Control Panels-Screen Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTOAAY
FaultCode117,True,Control Technology-Complete Control Panels-Trace Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTPAAY
FaultCode118,True,Control Technology-Complete Control Panels-Voltage Display Inconsistent-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDyGAM,a83cf0000002qTQAAY
FaultCode119,True,Control Technology-Control Panel Options-Cable End Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTRAAY
FaultCode120,True,Control Technology-Control Panel Options-Calibration changed/out of spec-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSTAAY
FaultCode121,True,Control Technology-Control Panel Options-Contact Points Burned-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSUAAY
FaultCode122,True,Control Technology-Control Panel Options-Contactor Chattering-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSVAAY
FaultCode123,True,Control Technology-Control Panel Options-Contactor Locked in-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSWAAY
FaultCode124,True,Control Technology-Control Panel Options-Contactor not pulling in-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSXAAY
FaultCode125,True,Control Technology-Control Panel Options-Electrical Component Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSaAAI
FaultCode126,True,Control Technology-Control Panel Options-Electrical Specs Not Met-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSbAAI
FaultCode127,True,Control Technology-Control Panel Options-Excessive Steering-Replace Component-1.5hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTSAAY
FaultCode128,True,Control Technology-Control Panel Options-Fuse Block Defective-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qScAAI
FaultCode129,True,Control Technology-Control Panel Options-Grounding Block Defective-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSdAAI
FaultCode130,True,Control Technology-Control Panel Options-Housing Damaged-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSeAAI
FaultCode131,True,Control Technology-Control Panel Options-Inconsistent Position-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTTAAY
FaultCode132,True,Control Technology-Control Panel Options-Incorrect Resistance Reading-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTUAAY
FaultCode133,True,Control Technology-Control Panel Options-Intermittent Operations-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSfAAI
FaultCode134,True,Control Technology-Control Panel Options-Leads corroded/broken-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSgAAI
FaultCode135,True,Control Technology-Control Panel Options-Other -- Fill in Comments-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSPAAY
FaultCode136,True,Control Technology-Control Panel Options-Resolver Input Error-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTVAAY
FaultCode137,True,Control Technology-Control Panel Options-Resolver Volts Incorrect-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTWAAY
FaultCode138,True,Control Technology-Control Panel Options-Shipment Damage-Replace Component-0hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSRAAY
FaultCode139,True,Control Technology-Control Panel Options-Signal Weak-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qSkAAI
FaultCode140,True,Control Technology-Control Panel Options-Won't Break Safety-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTXAAY
FaultCode141,True,Control Technology-Control Panel Options-Won't Hold Safety-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTYAAY
FaultCode142,True,Control Technology-Control Panel Options-Won't Steer Forward-Replace Component-1.5hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTZAAY
FaultCode143,True,Control Technology-Control Panel Options-Won't Steer Reverse-Replace Component-1.5hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YDzGAM,a83cf0000002qTaAAI
FaultCode144,True,Control Technology-Control Panel Repair-Cable End Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qTRAAY
FaultCode145,True,Control Technology-Control Panel Repair-Calibration changed/out of spec-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSTAAY
FaultCode146,True,Control Technology-Control Panel Repair-Contact Points Burned-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSUAAY
FaultCode147,True,Control Technology-Control Panel Repair-Contactor Chattering-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSVAAY
FaultCode148,True,Control Technology-Control Panel Repair-Contactor Locked in-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSWAAY
FaultCode149,True,Control Technology-Control Panel Repair-Contactor not pulling in-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSXAAY
FaultCode150,True,Control Technology-Control Panel Repair-Electrical Component Failure-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSaAAI
FaultCode151,True,Control Technology-Control Panel Repair-Electrical Specs Not Met-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSbAAI
FaultCode152,True,Control Technology-Control Panel Repair-Excessive Steering-Replace Component-1.5hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qTSAAY
FaultCode153,True,Control Technology-Control Panel Repair-Fuse Block Defective-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qScAAI
FaultCode154,True,Control Technology-Control Panel Repair-Grounding Block Defective-Replace Component-1hr,0ZGcf0000002Y8sGAE,0ZGcf0000002YE4GAM,a83cf0000002qSdAAI
