Name,tvnt__Type__c,tvnt__Is_Mandatory__c,tvnt__Response_Input_Type__c,tvnt__Response_Type__c,CurrencyIsoCode,tvnt__Response__c,tvnt__Question__c,tvnt__Sequence__c
Shims Present,,False,Picklist,Single Select,USD,"Yes
No",<p>Shims Present</p>,
Direction of Travel,,False,Picklist,Single Select,USD,"Forward
Reverse
Both",<p>Direction of Travel</p>,
Bow in Alignment,,False,Picklist,Single Select,USD,"Yes
No",<p>Bow in Alignment</p>,
Solid State Motor Controller on Tower,,False,Picklist,Single Select,USD,"Yes
No",<p>Solid State Motor Controller on Tower</p>,
Bearing Failure,,False,,Text,USD,,"<p>If Bearing Failure, Which One Failed?</p>",
"Failure Code (Seal,Oil / Bearing / Other)",,False,Picklist,Single Select,USD,"Seal/Oil Leaks
Bearing Failures
Other Failures",<p>Failure Code</p>,
Failure Code (Seal/Oil Leak),,False,MultiPicklist,Multi Select,USD,"Input Seal Leaking
Output Seal Leaking
Both Input/Output Seal Leaking
Seals Not Seated Properly
Neck/Housing Leak
Diaphragm Leak
Drain Plug Leak
Swing Tower Box Seal Leaking",<p>Failure Code (Seal/Oil Leak)</p>,
Failure Code (Bearing Failures),,False,MultiPicklist,Multi Select,USD,"Input Shaft
Output Shaft – Housing
Input Shaft – Neck
Missing Bearings
Missing Races",<p>Failure Code (Bearing Failures)</p>,
Failure Code (Other Failures),,False,MultiPicklist,Multi Select,USD,"Broken Worm
Worn Bull Gear
Broken Input Shaft
Broken Output Shaft
Stud Bolts Broken
Mounting Bolts Broken
Worn Worm",<p>Failure Code (Other Failures)</p>,
Date Code (Valley Gearbox/VS 7000 Gearbox),,False,,Text,USD,,<p>Date Code (See Blue Arrow)</p>,
Claim #,Machine Inspection Question,True,,Text,USD,,<p>Claim #</p>,1.0
Dealer Name,Machine Inspection Question,True,,Text,USD,,<p>Dealer Name</p>,2.0
Parent Order #,Machine Inspection Question,True,,Text,USD,,<p>Parent Order #</p>,3.0
Date Installed (Day/Month/Year),Machine Inspection Question,True,,Date,USD,,<p>Date Installed (Day/Month/Year)</p>,4.0
Failed Tower #,Machine Inspection Question,True,,Number,USD,,<p>Failed Tower #</p>,5.0
Failed Part #,Machine Inspection Question,True,,Text,USD,,<p>Failed Part #</p>,6.0
Serial # (from nameplate),Machine Inspection Question,True,,Text,USD,,<p>Serial # (from nameplate)</p>,7.0
Type of Power Supply,Machine Inspection Question,True,Radio,Single Select,USD,"Public Power
Generator
Roto Phase",<p>Type of Power Supply:</p>,8.0
Gear Box Failure Type (Check all that apply),Machine Inspection Question,False,Checkbox,Multi Select,USD,"Oil Leaking – Input (Motor) Seal
Oil Leaking – Output Seal
No Oil
Seam Leak (case & cover)
Porosity (leaking through casting)
Noisy Gears
Failed Gears or Bearings
No Visible Failure",<p>Gear Box Failure Type (Check all that apply):</p><p>Oil Leaking from:</p>,
Other Gear Box Failure,Machine Inspection Question,False,,Text,USD,,<p>Other Gear Box Failure:</p>,
Motor Failure Type,Machine Inspection Question,False,Checkbox,Multi Select,USD,"No Continuity Phase to Phase
Continuity (Short) Phase to Ground
Uneven Resistance Phase to Phase
No Visible Failure",<p>Motor Failure Type:</p>,
Booster Pump Failure:,Machine Inspection Question,False,Checkbox,Multi Select,USD,"Pump Failure
Bearing Failure *Picture Required. Note: Please send a picture of the Bearing to the following email: IrrigationWarranty@valmont.com
Drive End
Non-Drive End",<p>Booster Pump Failure:</p>,
Electrical Validation (Post-Replacement),Machine Inspection Question,True,,Text Area,USD,,<p>Measure voltage phase at pivot point after replacements have been made (start machine at 100% and check voltage):</p>,
Date Code - VS 7000 Gearbox,,False,,Text,USD,,<p>Date Code - VS 7000 Gearbox</p>,
Identify Gear Box (check applicable photo),Machine Inspection Question,False,ImageCheckbox,Single Select,USD,"Boston Gear Box|/resource/1767689762000/GEARone?
Omni Gear Box|/resource/1767689796000/GEARtwo?
Emerson Gear Box|/resource/1767689827000/GEARthree",<p>Identify Gear Box (check applicable photo):</p>,1.0
Gearbox Type Selection,,False,ImageCheckbox,Single Select,USD,"Valley Gearbox|/resource/1771919377000/ValleyGearbox
VS 7000 Gearbox|/resource/1771919476000/VS7000",<p>Gearbox Type Selection</p>,
Detail Motor Failure By Examination (or check applicable motor photo),Machine Inspection Question,False,ImageCheckbox,Single Select,USD,"Shorted Lead Connector|/resource/1770186077000/ShortedLeadConnector
Shorted Phase To Ground|/resource/1770186159000/ShortedPhaseToGround?
Shorted Phase To Phase|/resource/1770186201000/ShortedPhaseToPhase?
Phase Burned Both Ends|/resource/1770186252000/PhaseBurnedBothEnds?
Charred Failure One Ends|/resource/1770186387000/CharredFailureOneEnds?
High Voltage Surge|/resource/1770186463000/HighVoltageSurge?
Phase Burned One End
Charred Failure Both Ends",<p>Detail Motor Failure By Examination (or check applicable motor photo):</p>,
Frequency Of Program,,False,,Text,USD,,<p>Frequency Of Program</p>,
Failure Code Found,,False,,Text,USD,,<p>Failure Code Found</p>,
Valmont Tech Notes,,False,,Text Area,USD,,<p>Valmont Tech Notes</p>,
