Name,CatalogId,NumberOfProducts,IsNavigational
Electrical Tools,0ZSRj00000002rROAQ,26,True
Field Mapping Tools,0ZSRj00000002rROAQ,12,True
Mechanical Tools,0ZSRj00000002rROAQ,19,True
Bracket and Mounts,0ZSRj00000002rROAQ,154,True
Drains and Couplers,0ZSRj00000002rROAQ,31,True
Fasteners,0ZSRj00000002rROAQ,232,True
Flanges and End Plates,0ZSRj00000002rROAQ,45,True
Flex Boots,0ZSRj00000002rROAQ,24,True
Half Clamps,0ZSRj00000002rROAQ,0,True
Hardware,0ZSRj00000002rROAQ,575,True
Overhang Accessories,0ZSRj00000002rROAQ,0,True
Overhang Cables,0ZSRj00000002rROAQ,0,True
Rubber Gaskets,0ZSRj00000002rROAQ,32,True
Span Clamps,0ZSRj00000002rROAQ,68,True
Span Transitions,0ZSRj00000002rROAQ,10,True
Truss Components,0ZSRj00000002rROAQ,2,True
Weldment Options,0ZSRj00000002rROAQ,65,True
Boombacks,0ZSRj00000002rROAQ,83,True
Drop Options,0ZSRj00000002rROAQ,126,True
End Guns,0ZSRj00000002rROAQ,29,True
Fixed Sprays,0ZSRj00000002rROAQ,95,True
Impact Sprinklers,0ZSRj00000002rROAQ,11,True
Rotating Sprays,0ZSRj00000002rROAQ,100,True
Sprinkler Fittings,0ZSRj00000002rROAQ,255,True
Sprinkler Gauges,0ZSRj00000002rROAQ,16,True
Sprinkler Nozzles,0ZSRj00000002rROAQ,572,True
Sprinkler Regulators,0ZSRj00000002rROAQ,83,True
Sprinkler Repair,0ZSRj00000002rROAQ,123,True
U-Pipes,0ZSRj00000002rROAQ,22,True
Valves,0ZSRj00000002rROAQ,50,True
Add Span Packages,0ZSRj00000002rROAQ,58,True
Drive Unit Structure,0ZSRj00000002rROAQ,370,True
Overhang Packages,0ZSRj00000002rROAQ,10,True
Pipe & Stubs,0ZSRj00000002rROAQ,511,True
Pivot Flex Options,0ZSRj00000002rROAQ,0,True
Pivot Point,0ZSRj00000002rROAQ,721,True
Truss Angles,0ZSRj00000002rROAQ,297,True
Truss Rods,0ZSRj00000002rROAQ,129,True
Battery,0ZSRj00000002rROAQ,10,True
Electrical Relays and Bases,0ZSRj00000002rROAQ,7,True
Overhang Cable,0ZSRj00000002rROAQ,134,True
VRI,0ZSRj00000002rROAQ,59,True
X-TEC Options,0ZSRj00000002rROAQ,19,True
Control Valves,0ZSRj00000002rROAQ,61,True
Control Panel Repair,0ZSRj00000002rROAQ,64,True
Pressure Switches,0ZSRj00000002rROAQ,7,True
Terminal Options,0ZSRj00000002rROAQ,74,True
Pumping Options,0ZSRj00000002rROAQ,21,True
Merchandising,0ZSRj00000002rROAQ,7,True
Miscellaneous Merchandising,0ZSRj00000002rROAQ,7,True
Above Ground Guidance,0ZSRj00000002rROAQ,7,True
Pump Control Options,0ZSRj00000002rROAQ,14,True
Owner's Manual,0ZSRj00000002rROAQ,17,True
Installation Manual,0ZSRj00000002rROAQ,29,True
Machine Diagnostics,0ZSRj00000002rROAQ,10,True
