Name,CatalogId,ParentCategoryId,IsNavigational,CreatedDate
Corner Upgrade,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Encompass,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
GPS Guidance,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
LRDU,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Sprinkler,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Steerable Drive Unit,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Tubing Harnesses,0ZSRj00000002rROAQ,0ZGRj00000002t5OAA,True,2024-07-22T19:21:11.000+0000
Center Drive Repair,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Complete Center Drives,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Complete Gearboxes,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Drive Shaft Shields,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Drive Shafts,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Drive Train Conversions,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Engine Drive,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Gear Lube,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Gearbox Repair,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Tires and Rims,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
T-L Conversion,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
U-Joints,0ZSRj00000002rROAQ,0ZGRj00000002t6OAA,True,2024-07-22T19:21:11.000+0000
Complete Tower Boxes,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,True,2024-07-22T19:21:11.000+0000
Pivot Alignment,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,True,2024-07-22T19:21:11.000+0000
Solid State Motor Controller,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,True,2024-07-22T19:21:11.000+0000
Tower Box Conversion,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,True,2024-07-22T19:21:11.000+0000
Tower Box Mechanical,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,True,2024-07-22T19:21:11.000+0000
Tower Box Upgrades,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,True,2024-07-22T19:21:11.000+0000
X-Tec,0ZSRj00000002rROAQ,0ZGRj00000002t7OAA,True,2024-07-22T19:21:11.000+0000
Batteries,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Cable Accessories,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Collector Rings,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Control Boards and Modules,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Din Rails and Snap Tracks,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Cables,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Contactors,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Disconnect,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Meters,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Protective Devices,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Timers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Transformers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Electrical Wire,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Fuses & Circuit Breakers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Micro Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Percent Timers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Power Supply,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Pressure Transducers,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Relays,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Solenoids,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Speciality Cables,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
Terminal Strips,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-22T19:21:11.000+0000
3 Wheel Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
Agri-TRAC,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
Articulating 4-Wheel Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
Articulating Track Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
Loegering Tracks,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
RAAFT Track,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
Spider Wheel,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
Track Drive,0ZSRj00000002rROAQ,0ZGRj00000002t9OAA,True,2024-07-22T19:21:11.000+0000
Below Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
Furrow Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
GPS Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
Inlet Components,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
Linear Alignment,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
Linear Carts,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
Linear Options,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
Power Pedestal,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-22T19:21:11.000+0000
Bender Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
Booster Pumps,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
Cable Protection Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
Drive Unit Auto-Reverse Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
Drop Span Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
End Gun Control Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
End of Field Stops Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
Pump Connect,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
Running Lights,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-22T19:21:11.000+0000
Installation Manuals,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True,2024-07-22T19:21:11.000+0000
Owner's Manuals,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True,2024-07-22T19:21:11.000+0000
Electrical Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True,2024-07-22T19:21:11.000+0000
Field Mapping Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True,2024-07-22T19:21:11.000+0000
Mechanical Tools,0ZSRj00000002rROAQ,0ZGRj00000002tDOAQ,True,2024-07-22T19:21:11.000+0000
Bracket and Mounts,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Drains and Couplers,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Fasteners,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Flanges and End Plates,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Flex Boots,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Half Clamps,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Hardware,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Overhang Accessories,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Overhang Cables,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Rubber Gaskets,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Span Clamps,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Span Transitions,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Truss Components,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Weldment Options,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-22T19:21:11.000+0000
Boombacks,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Drop Options,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
End Guns,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Fixed Sprays,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Impact Sprinklers,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Rotating Sprays,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Sprinkler Fittings,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Sprinkler Gauges,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Sprinkler Nozzles,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Sprinkler Regulators,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Sprinkler Repair,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
U-Pipes,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Valves,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True,2024-07-22T19:21:11.000+0000
Add Span Packages,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Drive Unit Structure,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Overhang Packages,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Pipe & Stubs,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Pivot Flex Options,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Pivot Point,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Truss Angles,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Truss Rods,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True,2024-07-22T19:21:11.000+0000
Battery,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-26T02:29:38.000+0000
Electrical Relays and Bases,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-26T02:32:03.000+0000
Overhang Cable,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True,2024-07-26T02:37:04.000+0000
VRI,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-26T02:37:23.000+0000
X-TEC Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2024-07-26T13:13:08.000+0000
Control Valves,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-26T13:28:51.000+0000
Control Panel Repair,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-26T13:29:15.000+0000
Pressure Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-26T13:29:50.000+0000
Terminal Options,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True,2024-07-26T13:30:04.000+0000
Pumping Options,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True,2024-07-26T13:34:29.000+0000
Merchandising,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True,2024-07-26T13:35:44.000+0000
Miscellaneous Merchandising,0ZSRj00000002rROAQ,0ZGRj00000003NhOAI,True,2024-07-26T13:35:45.000+0000
Above Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True,2024-07-26T13:35:48.000+0000
Pump Control Options,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True,2024-07-26T13:49:59.000+0000
Owner's Manual,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True,2024-09-26T20:15:10.000+0000
Installation Manual,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True,2024-09-26T20:15:16.000+0000
Machine Diagnostics,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True,2025-07-07T21:22:35.000+0000
