IsNavigational,CatalogId,Name,ParentCategoryId
True,0ZSRj00000002rROAQ,Steerable Drive Unit,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Tubing Harnesses,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Center Drive Repair,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Complete Center Drives,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Complete Gearboxes,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Drive Shaft Shields,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Drive Shafts,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Drive Train Conversions,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Engine Drive,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Gear Lube,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Gearbox Repair,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Tires and Rims,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,T-L Conversion,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,U-Joints,0ZGVF0000002fFE4AY
True,0ZSRj00000002rROAQ,Complete Tower Boxes,0ZGVF0000002fFF4AY
True,0ZSRj00000002rROAQ,Pivot Alignment,0ZGVF0000002fFF4AY
True,0ZSRj00000002rROAQ,Solid State Motor Controller,0ZGVF0000002fFF4AY
True,0ZSRj00000002rROAQ,Tower Box Conversion,0ZGVF0000002fFF4AY
True,0ZSRj00000002rROAQ,Tower Box Mechanical,0ZGVF0000002fFF4AY
True,0ZSRj00000002rROAQ,Tower Box Upgrades,0ZGVF0000002fFF4AY
True,0ZSRj00000002rROAQ,X-Tec,0ZGVF0000002fFF4AY
True,0ZSRj00000002rROAQ,Batteries,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Cable Accessories,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Collector Rings,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Control Boards and Modules,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Din Rails and Snap Tracks,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Cables,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Contactors,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Disconnect,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Meters,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Protective Devices,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Timers,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Transformers,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Wire,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Fuses & Circuit Breakers,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Micro Switches,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Percent Timers,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Power Supply,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Pressure Transducers,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Relays,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Solenoids,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Speciality Cables,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Switches,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Terminal Strips,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Battery,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Electrical Relays and Bases,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Pressure Switches,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,Terminal Options,0ZGVF0000002fFG4AY
True,0ZSRj00000002rROAQ,3 Wheel Drive,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,Agri-TRAC,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,Articulating 4-Wheel Drive,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,Articulating Track Drive,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,Loegering Tracks,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,RAAFT Track,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,Spider Wheel,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,Track Drive,0ZGVF0000002fFH4AY
True,0ZSRj00000002rROAQ,Below Ground Guidance,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Furrow Guidance,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,GPS Guidance,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Inlet Components,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Linear Alignment,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Linear Carts,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Linear Options,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Power Pedestal,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Above Ground Guidance,0ZGVF0000002fFI4AY
True,0ZSRj00000002rROAQ,Bender Options,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Booster Pumps,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Cable Protection Options,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Drive Unit Auto-Reverse Options,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Drop Span Options,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,End Gun Control Options,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,End of Field Stops Options,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Pump Connect,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Running Lights,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,VRI,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,X-TEC Options,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Machine Diagnostics,0ZGVF0000002fFJ4AY
True,0ZSRj00000002rROAQ,Installation Manuals,0ZGVF0000002fFK4AY
True,0ZSRj00000002rROAQ,Owner's Manuals,0ZGVF0000002fFK4AY
True,0ZSRj00000002rROAQ,Owner's Manual,0ZGVF0000002fFK4AY
True,0ZSRj00000002rROAQ,Installation Manual,0ZGVF0000002fFK4AY
True,0ZSRj00000002rROAQ,Electrical Tools,0ZGVF0000002fFL4AY
True,0ZSRj00000002rROAQ,Field Mapping Tools,0ZGVF0000002fFL4AY
True,0ZSRj00000002rROAQ,Mechanical Tools,0ZGVF0000002fFL4AY
True,0ZSRj00000002rROAQ,Bracket and Mounts,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Drains and Couplers,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Fasteners,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Flanges and End Plates,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Flex Boots,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Half Clamps,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Hardware,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Overhang Accessories,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Overhang Cables,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Rubber Gaskets,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Span Clamps,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Span Transitions,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Truss Components,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Weldment Options,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Overhang Cable,0ZGVF0000002fFM4AY
True,0ZSRj00000002rROAQ,Boombacks,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Drop Options,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,End Guns,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Fixed Sprays,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Impact Sprinklers,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Rotating Sprays,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Sprinkler Fittings,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Sprinkler Gauges,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Sprinkler Nozzles,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Sprinkler Regulators,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Sprinkler Repair,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,U-Pipes,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Valves,0ZGVF0000002fFN4AY
True,0ZSRj00000002rROAQ,Add Span Packages,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Drive Unit Structure,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Overhang Packages,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Pipe & Stubs,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Pivot Flex Options,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Pivot Point,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Truss Angles,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Truss Rods,0ZGVF0000002fFO4AY
True,0ZSRj00000002rROAQ,Miscellaneous Merchandising,0ZGVF0000002fFP4AY
