WOD_2__Policy_Filter_Condition__c,WOD_2__Transfer_Fee__c,WOD_2__Payment_Definition__c,Mark_Policy_As_Primary_HDI__c,Coverage_transfer_window_period_fromdate__c,WOD_2__Coverage_Based_On__c,LastModifiedById,EWP_End_WP_from_Shipment_Date_HDI__c,WOD_2__Sub_Type__c,Machine_Hours_Energy_Units_Covered_HDI__c,OwnerId,WOD_2__Transferable_Month__c,LastReferencedDate,Comments__c,Policy_Name_HDI__c,Job_Code_Group_HDI__c,WOD_2__Months_Covered_From__c,Build_Date_Applicable_HDI__c,Is_Third_Party_Policy_HDI__c,WOD_2__Description__c,WOD_2__Pricebook_Type__c,Name,WOD_2__Terms_Condition__c,Business_Unit_HDI__c,Customer_Type__c,WOD_2__Is_Policy_Optional__c,WOD_2__Type__c,Installer_Certification_Status_HDI__c,Is_Policy_Displayed_To_Internal_Users_On__c,WOD_2__Active_From__c,Registration_Price__c,CreatedDate,WOD_2__Status__c,Limit_of_Liability_HDI__c,WOD_2__Business_Units__c,Is_Attachment_Mandatory_HDI__c,WOD_2__Days_Covered__c,WOD_2__Inclusion__c,LastModifiedDate,Months_Covered_From_Invoice_Date_HDI__c,CurrencyIsoCode,SystemModstamp,WOD_2__Months_Covered__c,WOD_2__Transferable__c,Maxi_number_of_transfer_to_end_customers__c,WOD_2__Category_To_Apply_Degradation__c,WOD_2__Days_Covered_From__c,Is_Policy_Applicable_for_DR_HDI__c,WOD_2__Active_Until__c,LastViewedDate,EWP_Start_WP_from_Delivery_Date_HDI__c,WOD_2__Exclusion__c,Months_Covered_From_Shipment_HDI__c,WOD_2__Expression__c,Months_Covered_FRM_OriginalDate_HDI__c,Ownership_State_HDI__c,CreatedById,IsDeleted,WOD_2__Priority__c,External_ID_HDI__c,Forced_Selection_Needed_During_DR_HDI__c,Months_Covered_From_Build_Date_HDI__c,Policy_Group_Name_HDI__c,Item_Condition_HDI__c,Id,WOD_2__Default_Policy_Definition__c,WOD_2__Extended_Policy_Cost__c,EWP_End_WP_from_Delivery_Date_HDI__c
OR,,,False,,,0058a00000Ma4PUAAZ,,,10000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 48 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-10000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,48.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6027.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrbAAD,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,4000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 48 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 4,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-4000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,48.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6028.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrcAAD,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,6000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 48 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 6,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-6000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,48.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6029.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrdAAD,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,8000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 48 months or 8,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 48 months or 8,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-48-8000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,48.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6030.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsreAAD,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,10000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 60 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 60 months or 10,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-60-10000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,60.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6031.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrfAAD,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,5000.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 60 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 60 months or 5,000 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-60-5000-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-05-25T01:29:10.000+0000,,USD,2023-05-25T01:29:10.000+0000,60.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6032.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrgAAD,False,,99999.0
OR,,,False,,,0058a00000Ma4PUAAZ,,,7500.0,0058a00000Ma4PUAAZ,,,,"Develon Premium Extended Warranty 60 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,,False,False,"Develon Premium Extended Warranty 60 months or 7,500 operation hours, full machine, distance, labor and parts coverage",,EXT-DP-60-7500-DPFULL-DLP,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2020-05-01,,2023-05-24T08:44:33.000+0000,Active,,EUROPE,False,,,2023-06-27T23:33:45.000+0000,,USD,2023-06-27T23:33:45.000+0000,60.0,True,,,,False,2060-12-31,,0.0,,,,,First Owner;Preowned;Dealer Rental,0058a00000Ma4PUAAZ,False,6034.0,,False,,PARTS_LABOR_TRAVEL;DPFULL,NEW;PREOWNED,a0e8a00000GIsrhAAD,False,,99999.0
OR,0.0,,False,,,0058a00000MZsjwAAD,99999.0,,8000.0,0058a00000Ma0lHAAR,,,,Extended Standard 48 Months or 8000 Hours Powertrain Parts,,,False,False,Extended Standard 48 Months or 8000 Hours Powertrain Parts,,EXT-S-48-8000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,2022-11-30T10:16:33.000+0000,Inactive,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,72.0,EUR,2023-05-19T23:47:57.000+0000,48.0,True,,,,False,2060-01-01,,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000Ma0lHAAR,False,332.0,110000000017880,False,0.0,PARTS;TRANSMISSION;PARTS ONLY;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,a0e8a00000GX74dAAD,False,,99999.0
OR,0.0,,False,,,0058a00000MZsjwAAD,99999.0,,10000.0,0058a00000Ma0lHAAR,,,,Extended Standard 60 Months or 10000 Hours Powertrain Parts,,,False,False,Extended Standard 60 Months or 10000 Hours Powertrain Parts,,EXT-S-60-10000-POWERTRAIN-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,2022-11-30T10:16:33.000+0000,Inactive,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,72.0,EUR,2023-05-19T23:47:57.000+0000,60.0,True,,,,False,2060-01-01,,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000Ma0lHAAR,False,333.0,110000000017900,False,0.0,PARTS;TRANSMISSION;PARTS ONLY;DRIVELINE,NEW;PREMIUM_RENTAL;CONSIGNMENT,a0e8a00000GX74eAAD,False,,99999.0
OR,0.0,,False,,,0058a00000MZsjwAAD,0.0,,4000.0,0058a00000Ma0lHAAR,,,,Extended Protection Plus 24 Months or 4000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 24 Months or 4000 Hours Full machine Distance Labour Parts,,EXT-PP-24-4000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,2022-11-30T10:16:33.000+0000,Active,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,72.0,EUR,2023-05-19T23:47:57.000+0000,24.0,True,,,,False,2060-01-01,,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000Ma0lHAAR,False,340.0,110000000017920,False,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,a0e8a00000GX74fAAD,False,,999999.0
OR,0.0,,False,,,0058a00000MZsjwAAD,0.0,,6000.0,0058a00000Ma0lHAAR,,,,Extended Protection Plus 36 Months or 6000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 36 Months or 6000 Hours Full machine Distance Labour Parts,,EXT-PP-36-6000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,2022-11-30T10:16:33.000+0000,Active,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,72.0,EUR,2023-05-19T23:47:57.000+0000,36.0,True,,,,False,2060-01-01,,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000Ma0lHAAR,False,341.0,110000000017940,False,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,a0e8a00000GX74gAAD,False,,99999.0
OR,0.0,,False,,,0058a00000MZsjwAAD,0.0,,8000.0,0058a00000Ma0lHAAR,,,,Extended Protection Plus 48 Months or 8000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 48 Months or 8000 Hours Full machine Distance Labour Parts,,EXT-PP-48-8000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,2022-11-30T10:16:33.000+0000,Active,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,72.0,EUR,2023-05-19T23:47:57.000+0000,48.0,True,,,,False,2060-01-01,,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000Ma0lHAAR,False,342.0,110000000017960,False,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,a0e8a00000GX74hAAD,False,,99999.0
OR,0.0,,False,,,0058a00000MZsjwAAD,0.0,,10000.0,0058a00000Ma0lHAAR,,,,Extended Protection Plus 60 Months or 10000 Hours Full machine Distance Labour Parts,,,False,False,Extended Protection Plus 60 Months or 10000 Hours Full machine Distance Labour Parts,,EXT-PP-60-10000-PPFULL-DLP,,EUROPE,End Customer;Dealer;Direct Customer;Dealer Rental/ RPO,True,EXTENDED,ANY,False,2009-01-01,,2022-11-30T10:16:33.000+0000,Active,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,0.0,EUR,2023-05-19T23:47:57.000+0000,60.0,True,,,,False,2060-01-01,,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000Ma0lHAAR,False,343.0,110000000017980,False,0.0,PARTS_LABOR_TRAVEL;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,a0e8a00000GX74iAAD,False,,99999.0
OR,0.0,,False,,,0058a00000MZsjwAAD,99999.0,,4000.0,0058a00000Ma0lHAAR,,,,Extended Protection Plus 24 Months or 4000 Hours Full machine Parts,,,False,False,Extended Protection Plus 24 Months or 4000 Hours Full machine Parts,,EXT-PP-24-4000-PPFULL-P,,EUROPE,"Business / HOWA;Business / HOWA;Government County;Government Federal;Government, Local/City/Village;Government, State/Province;National /Regional Account;End Customer;Inter Company;Dealer;Direct Customer;National Account;Dealer Rental/ RPO",True,EXTENDED,ANY,False,2009-01-01,,2022-11-30T10:16:33.000+0000,Inactive,,EUROPE,False,,,2023-05-19T23:47:57.000+0000,72.0,EUR,2023-05-19T23:47:57.000+0000,24.0,True,,,,False,2060-01-01,,0.0,,0.0,,0.0,First Owner;Preowned;Dealer Rental,0058a00000Ma0lHAAR,False,350.0,110000000018000,False,0.0,PARTS ONLY;Protection Plus;PPFULL,NEW;PREMIUM_RENTAL;CONSIGNMENT,a0e8a00000GX74jAAD,False,,99999.0
