Id,Name,WOD_2__Units_Of_Measure__c,CurrencyIsoCode,WOD_2__Business_Unit__c,WOD_2__Business_Units__c,WOD_2__Item_Type__c,WOD_2__Major_Part__c,WOD_2__Parent_Product__c,WOD_2__Track_Type__c,WOD_2__Type__c,Business_Units_Text__c,Description_DE__c,Description_EN__c,Description_ES__c,Description_FR__c,Description_HU__c,Description_IT__c,Description_JA__c,Description_NL__c,Description_NO__c,Description_PL__c,Description_TR__c,Is_Active__c,Part_Return_Required__c,Photo_Required__c,Series_Code__c,TWOD_Eligible_for_Discount__c,Warranty_Product_Auto_Number__c,Warranty_Product_Code__c,Wearing_Part__c,KPAD_Number__c,Product_Name__c,is_valid,issue
a170E0000060T9kQAE,11000.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Common Accessories,Common Accessories,Common Accessories,Common Accessories,,Common Accessories,,Common Accessories,,Common Accessories,Common Accessories,True,False,False,,False,12,,False,11000-11000,11000.0,True,
a170E0000060T9lQAE,11100.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Compact Tractors Accessories,Compact Tractors Accessories,Compact Tractors Accessories,Compact Tractors Accessories,,Compact Tractors Accessories,,Compact Tractors Accessories,,Compact Tractors Accessories,Compact Tractors Accessories,True,False,False,,False,13,,False,11100-11100,11100.0,True,
a170E0000060T9mQAE,11150.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Agri.Tractors Accessories,Agri.Tractors Accessories,Agri.Tractors Accessories,Agri.Tractors Accessories,,Agri.Tractors Accessories,,Agri.Tractors Accessories,,Agri.Tractors Accessories,Agri.Tractors Accessories,True,False,False,,False,14,,False,11150-11150,11150.0,True,
a170E0000060T9nQAE,11200.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Ride on Mowers Accessories,Ride on Mowers Accessories,Ride on Mowers Accessories,Ride on Mowers Accessories,,Ride on Mowers Accessories,,Ride on Mowers Accessories,,Ride on Mowers Accessories,Ride on Mowers Accessories,True,False,False,,False,15,,False,11200-11200,11200.0,True,
a170E0000060T9oQAE,11400.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Utility Vehicles Accessories,Utility Vehicles Accessories,Utility Vehicles Accessories,Utility Vehicles Accessories,,Utility Vehicles Accessories,,Utility Vehicles Accessories,,Utility Vehicles Accessories,Utility Vehicles Accessories,True,False,False,,False,16,,False,11400-11400,11400.0,True,
a170E0000060T9pQAE,18000.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,TBU Services,TBU Services,TBU Services,TBU Services,,TBU Services,,TBU Services,,TBU Services,TBU Services,True,False,False,,False,17,,False,18000-18000,18000.0,True,
a170E0000060T9qQAE,19000.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Special Case,Special Case,Special Case,Special Case,,Special Case,,Special Case,,Special Case,Special Case,True,False,False,,False,18,,False,19000-19000,19000.0,True,
a170E0000060T9rQAE,20100.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Bagger,Excavator,Excavadora,Pelleteuses,,Excavator,,Excavator,,Excavator,Excavator,True,False,False,,False,19,,False,20100-20100,20100.0,True,
a170E0000060T9sQAE,20200.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Radlader,Wheel loader,Pala cargadora sobre ruedas,Chargeur,,Wheel loader,,Wheel loader,,Wheel loader,Wheel loader,True,False,False,,False,20,,False,20200-20200,20200.0,True,
a170E0000060T9tQAE,20300.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Dumper,Carrier,Transportador,Transporteur,,Carrier,,Carrier,,Carrier,Carrier,True,False,False,,False,21,,False,20300-20300,20300.0,True,
a170E0000060T9uQAE,20400.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Kompaktlader,Skid Steere Loader,Minicargadora,Mini Chargeur (Skid),,Skid Steere Loader,,Skid Steere Loader,,Skid Steere Loader,Skid Steere Loader,True,False,False,,False,22,,False,20400-20400,20400.0,True,
a170E0000060T9vQAE,20500.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Generatoren,Generator,Generador,Generateur,,Generator,,Generator,,Generator,Generator,True,False,False,,False,23,,False,20500-20500,20500.0,True,
a170E0000060T9wQAE,20600.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,TELEHANDLER,TELEHANDLER,TELEHANDLER,CHARIOT TELESCOPIQUE,,TELEHANDLER,,TELEHANDLER,,TELEHANDLER,TELEHANDLER,True,False,False,,False,24,,False,20600-20600,20600.0,True,
a170E0000060T9xQAE,20700.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Compact Track Loader,Compact Track Loader,Compact Track Loader,Compact Track Loader,,Compact Track Loader,,Compact Track Loader,,Compact Track Loader,Compact Track Loader,True,False,False,,False,25,,False,20700-20700,20700.0,True,
a170E0000060T9yQAE,29000.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Others TP,Others TP,Others TP,Autres TP,,Others TP,,Others TP,,Others TP,Others TP,True,False,False,,False,26,,False,29000-29000,29000.0,True,
a170E0000060T9zQAE,30100.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Dieselmotor (AC),Diesel engine (AC),Motor diesel (AC),Moteur diesel (AC),,Diesel engine (AC),,Diesel engine (AC),,Diesel engine (AC),Diesel engine (AC),True,False,False,,False,27,,False,30100-30100,30100.0,True,
a170E0000060TA0QAM,30200.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Dieselmotor (WC) horizontal,Diesel engine (WC) horizontal,Motor diesel (WC) horizontal,Moteur diesel (WC) horizontal,,Diesel engine (WC) horizontal,,Diesel engine (WC) horizontal,,Diesel engine (WC) horizontal,Diesel engine (WC) horizontal,True,False,False,,False,28,,False,30200-30200,30200.0,True,
a170E0000060TA1QAM,30300.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Dieselmotor (WC) vertical,Diesel engine (WC) vertical,Motor diesel (WC) vertical,Moteur diesel (WC) vertical,,Diesel engine (WC) vertical,,Diesel engine (WC) vertical,,Diesel engine (WC) vertical,Diesel engine (WC) vertical,True,False,False,,False,29,,False,30300-30300,30300.0,True,
a170E0000060TA2QAM,30400.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Gasoline (WC),Gasoline (WC),Gasolina (WC),Moteur Essence (WC),,,,Gasoline (WC),,Gasoline (WC),Gasoline (WC),True,False,False,,False,30,,False,30400-30400,30400.0,True,
a170E0000060TA3QAM,30500.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Gasoline (AC),Gasoline (AC),Gasolina (AC),Moteur Essence (AC),,,,Gasoline (AC),,Gasoline (AC),Gasoline (AC),True,False,False,,False,31,,False,30500-30500,30500.0,True,
a170E0000060TA4QAM,37000.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Service Provision - Engine Dept,Service Provision - Engine Dept,Service Provision - Engine Dept,Prestation de Service - Dept Moteurs,,Service Provision - Engine Dept,,Service Provision - Engine Dept,,Service Provision - Engine Dept,Service Provision - Engine Dept,True,False,False,,False,32,,False,37000-37000,37000.0,True,
a170E0000060TA5QAM,38000.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Motor Kit/ Zubehr,Engine Kit/Accessories,Kit Motor/Accesorios,Accessoires Moteurs:Kits/Nomenclature,,,,Engine Kit/Accessories,,Engine Kit/Accessories,Engine Kit/Accessories,True,False,False,,False,33,,False,38000-38000,38000.0,True,
a170E0000060TA6QAM,39000.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Andere Motoren,Engine Others,Motor otros,Autres moteurs:Remplacement/Anciens,,,,Engine Others,,Engine Others,Engine Others,True,False,False,,False,34,,False,39000-39000,39000.0,True,
a170E0000060TA7QAM,40100.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Ersatzteile,Common Use Spare Parts,Piezas de recambio de uso corriente,Pices Communes,,,,Common Use Spare Parts,,Common Use Spare Parts,Common Use Spare Parts,True,False,False,,False,35,,False,40100-40100,40100.0,True,
a170E0000060TA8QAM,40200.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Teile fr Landmaschinen,AM Use Spare Parts,Piezas de recambio de uso AM,Pices pour AM,,,,AM Use Spare Parts,,AM Use Spare Parts,AM Use Spare Parts,True,False,False,,False,36,,False,40200-40200,40200.0,True,
a170E0000060TA9QAM,40300.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Teile fr Landmaschinenzubehr,AM Implement Use Spare Parts,Piezas de recambio de uso en aperos AM,Pices pour Accessoires AM,,,,AM Implement Use Spare Parts,,AM Implement Use Spare Parts,AM Implement Use Spare Parts,True,False,False,,False,37,,False,40300-40300,40300.0,True,
a170E0000060TAAQA2,40400.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Gebrauchte baumaschinenersatzteile,CM Use Spare Parts,Piezas de recambio de uso CM,Pices pour TP,,,,CM Use Spare Parts,,CM Use Spare Parts,CM Use Spare Parts,True,False,False,,False,38,,False,40400-40400,40400.0,True,
a170E0000060TABQA2,40500.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Gebrauchte Orginalersatzteile,CM Implement Use Spare Parts,Piezas de recambio de uso en aperos CM,Pices pour Accessoires TP,,,,CM Implement Use Spare Parts,,CM Implement Use Spare Parts,CM Implement Use Spare Parts,True,False,False,,False,39,,False,40500-40500,40500.0,True,
a170E0000060TACQA2,40600.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,Teile fr Motoren,Engine Use Spare Parts,Piezas de recambio de uso en el motor,Pices pour Moteur,,,,Engine Use Spare Parts,,Engine Use Spare Parts,Engine Use Spare Parts,True,False,False,,False,40,,False,40600-40600,40600.0,True,
a170E0000060TADQA2,41100.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,OIL,OIL,OIL,OIL,,OIL,,OIL,,,OIL,True,False,False,,False,41,,False,41100-41100,41100.0,True,
a170E0000060TAEQA2,41110.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,BATTERY,BATTERY,BATTERY,BATTERY,,BATTERY,,BATTERY,,,BATTERY,True,False,False,,False,42,,False,41110-41110,41110.0,True,
a170E0000060TAFQA2,41120.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,FILTER,FILTER,FILTER,FILTER,,FILTER,,FILTER,,,FILTER,True,False,False,,False,43,,False,41120-41120,41120.0,True,
a170E0000060TAGQA2,41130.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,BELT,BELT,BELT,BELT,,BELT,,BELT,,,BELT,True,False,False,,False,44,,False,41130-41130,41130.0,True,
a170E0000060TAHQA2,41140.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,BLADE,BLADE,BLADE,BLADE,,BLADE,,BLADE,,,BLADE,True,False,False,,False,45,,False,41140-41140,41140.0,True,
a170E0000060TAIQA2,41150.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,"REPAIR KIT, ENGINE GASKET","REPAIR KIT, ENGINE GASKET","REPAIR KIT, ENGINE GASKET","REPAIR KIT, ENGINE GASKET",,"REPAIR KIT, ENGINE GASKET",,"REPAIR KIT, ENGINE GASKET",,,"REPAIR KIT, ENGINE GASKET",True,False,False,,False,46,,False,41150-41150,41150.0,True,
a170E0000060TAJQA2,41160.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,"REPAIR KIT, ENGINE METAL","REPAIR KIT, ENGINE METAL","REPAIR KIT, ENGINE METAL","REPAIR KIT, ENGINE METAL",,"REPAIR KIT, ENGINE METAL",,"REPAIR KIT, ENGINE METAL",,,"REPAIR KIT, ENGINE METAL",True,False,False,,False,47,,False,41160-41160,41160.0,True,
a170E0000060TAKQA2,41170.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,"REPAIR KIT, PISTON","REPAIR KIT, PISTON","REPAIR KIT, PISTON","REPAIR KIT, PISTON",,"REPAIR KIT, PISTON",,"REPAIR KIT, PISTON",,,"REPAIR KIT, PISTON",True,False,False,,False,48,,False,41170-41170,41170.0,True,
a170E0000060TALQA2,41180.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,"REPAIR KIT, SEALS","REPAIR KIT, SEALS","REPAIR KIT, SEALS","REPAIR KIT, SEALS",,"REPAIR KIT, SEALS",,"REPAIR KIT, SEALS",,,"REPAIR KIT, SEALS",True,False,False,,False,49,,False,41180-41180,41180.0,True,
a170E0000060TAMQA2,41190.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,SERVICE KIT,SERVICE KIT,SERVICE KIT,SERVICE KIT,,SERVICE KIT,,SERVICE KIT,,,SERVICE KIT,True,False,False,,False,50,,False,41190-41190,41190.0,True,
a170E0000060TANQA2,41200.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,PAINT,PAINT,PAINT,PAINT,,PAINT,,PAINT,,,PAINT,True,False,False,,False,51,,False,41200-41200,41200.0,True,
a170E0000060TAOQA2,41210.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,WINDOW,WINDOW,WINDOW,WINDOW,,WINDOW,,WINDOW,,WINDOW,WINDOW,True,False,False,,False,52,,False,41210-41210,41210.0,True,
a170E0000060TAPQA2,41220.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,LIGHTING,LIGHTING,LIGHTING,LIGHTING,,LIGHTING,,LIGHTING,,,LIGHTING,True,False,False,,False,53,,False,41220-41220,41220.0,True,
a170E0000060TAQQA2,41230.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,ANTI-SCALP ROLLER,ANTI-SCALP ROLLER,ANTI-SCALP ROLLER,ANTI-SCALP ROLLER,,ANTI-SCALP ROLLER,,ANTI-SCALP ROLLER,,,ANTI-SCALP ROLLER,True,False,False,,False,54,,False,41230-41230,41230.0,True,
a170E0000060TARQA2,41240.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,CRAWLER,CRAWLER,CRAWLER,CRAWLER,,CRAWLER,,CRAWLER,,CRAWLER,CRAWLER,True,False,False,,False,55,,False,41240-41240,41240.0,True,
a170E0000060TASQA2,41250.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,UNDERCARRIAGE,UNDERCARRIAGE,UNDERCARRIAGE,UNDERCARRIAGE,,UNDERCARRIAGE,,UNDERCARRIAGE,,,UNDERCARRIAGE,True,False,False,,False,56,,False,41250-41250,41250.0,True,
a170E0000060TATQA2,41260.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,PUMP (HYDRAULIC),PUMP (HYDRAULIC),PUMP (HYDRAULIC),PUMP (HYDRAULIC),,PUMP (HYDRAULIC),,PUMP (HYDRAULIC),,PUMP (HYDRAULIC),PUMP (HYDRAULIC),True,False,False,,False,57,,False,41260-41260,41260.0,True,
a170E0000060TAUQA2,41270.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,CYLINDER,CYLINDER,CYLINDER,CYLINDER,,CYLINDER,,CYLINDER,,,CYLINDER,True,False,False,,False,58,,False,41270-41270,41270.0,True,
a170E0000060TAVQA2,41280.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,HOSE,HOSE,HOSE,HOSE,,HOSE,,HOSE,,,HOSE,True,False,False,,False,59,,False,41280-41280,41280.0,True,
a170E0000060TAWQA2,41290.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,ELECTRIC,ELECTRIC,ELECTRIC,ELECTRIC,,ELECTRIC,,ELECTRIC,,,ELECTRIC,True,False,False,,False,60,,False,41290-41290,41290.0,True,
a170E0000060TAXQA2,41300.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,PUMP (ENGINE),PUMP (ENGINE),PUMP (ENGINE),PUMP (ENGINE),,PUMP (ENGINE),,PUMP (ENGINE),,PUMP (ENGINE),PUMP (ENGINE),True,False,False,,False,61,,False,41300-41300,41300.0,True,
a170E0000060TAYQA2,41310.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,EXHAUST,EXHAUST,EXHAUST,EXHAUST,,EXHAUST,,EXHAUST,,,EXHAUST,True,False,False,,False,62,,False,41310-41310,41310.0,True,
a170E0000060TAZQA2,41320.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,FITTING PARTS,FITTING PARTS,FITTING PARTS,FITTING PARTS,,FITTING PARTS,,FITTING PARTS,,,FITTING PARTS,True,False,False,,False,63,,False,41320-41320,41320.0,True,
a170E0000060TAaQAM,41330.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,SEALING PARTS,SEALING PARTS,SEALING PARTS,SEALING PARTS,,SEALING PARTS,,SEALING PARTS,,,SEALING PARTS,True,False,False,,False,64,,False,41330-41330,41330.0,True,
a170E0000060TAbQAM,41340.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,RADIATOR,RADIATOR,RADIATOR,RADIATOR,,RADIATOR,,RADIATOR,,,RADIATOR,True,False,False,,False,65,,False,41340-41340,41340.0,True,
a170E0000060TAcQAM,41350.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,TRANSMISSION,TRANSMISSION,TRANSMISSION,TRANSMISSION,,TRANSMISSION,,TRANSMISSION,,,TRANSMISSION,True,False,False,,False,66,,False,41350-41350,41350.0,True,
a170E0000060TAdQAM,41360.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,WHEELS,WHEELS,WHEELS,WHEELS,,WHEELS,,WHEELS,,,WHEELS,True,False,False,,False,67,,False,41360-41360,41360.0,True,
a170E0000060TAeQAM,41370.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,BUCKET WEAR PARTS,BUCKET WEAR PARTS,BUCKET WEAR PARTS,BUCKET WEAR PARTS,,BUCKET WEAR PARTS,,BUCKET WEAR PARTS,,BUCKET WEAR PARTS,BUCKET WEAR PARTS,True,False,False,,False,68,,False,41370-41370,41370.0,True,
a170E0000060TAfQAM,41380.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,CABIN/ROPS,CABIN/ROPS,CABIN/ROPS,CABIN/ROPS,,CABIN/ROPS,,CABIN/ROPS,,,CABIN/ROPS,True,False,False,,False,69,,False,41380-41380,41380.0,True,
a170E0000060TAgQAM,41390.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,3P LINKAGE,3P LINKAGE,3P LINKAGE,3P LINKAGE,,3P LINKAGE,,3P LINKAGE,,,3P LINKAGE,True,False,False,,False,70,,False,41390-41390,41390.0,True,
a170E0000060TAhQAM,41400.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,BEARING,BEARING,BEARING,BEARING,,BEARING,,BEARING,,,BEARING,True,False,False,,False,71,,False,41400-41400,41400.0,True,
a170E0000060TAiQAM,41410.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,BUSH,BUSH,BUSH,BUSH,,BUSH,,BUSH,,,BUSH,True,False,False,,False,72,,False,41410-41410,41410.0,True,
a170E0000060TAjQAM,41420.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,BUCKET LINK,BUCKET LINK,BUCKET LINK,BUCKET LINK,,BUCKET LINK,,BUCKET LINK,,,BUCKET LINK,True,False,False,,False,73,,False,41420-41420,41420.0,True,
a170E0000060TAkQAM,41430.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,UNIVERSAL JOINT,UNIVERSAL JOINT,UNIVERSAL JOINT,UNIVERSAL JOINT,,UNIVERSAL JOINT,,UNIVERSAL JOINT,,,UNIVERSAL JOINT,True,False,False,,False,74,,False,41430-41430,41430.0,True,
a170E0000060TAlQAM,41440.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,SPRING,SPRING,SPRING,SPRING,,SPRING,,SPRING,,,SPRING,True,False,False,,False,75,,False,41440-41440,41440.0,True,
a170E0000060TAmQAM,41450.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,ENGINE COMPONENT,ENGINE COMPONENT,ENGINE COMPONENT,ENGINE COMPONENT,,ENGINE COMPONENT,,ENGINE COMPONENT,,,ENGINE COMPONENT,True,False,False,,False,76,,False,41450-41450,41450.0,True,
a170E0000060TAnQAM,41460.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,CYLINDER HEAD,CYLINDER HEAD,CYLINDER HEAD,CYLINDER HEAD,,CYLINDER HEAD,,CYLINDER HEAD,,,CYLINDER HEAD,True,False,False,,False,77,,False,41460-41460,41460.0,True,
a170E0000060TAoQAM,41470.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,SPARK PLUG,SPARK PLUG,SPARK PLUG,SPARK PLUG,,SPARK PLUG,,SPARK PLUG,,,SPARK PLUG,True,False,False,,False,78,,False,41470-41470,41470.0,True,
a170E0000060TApQAM,41480.0,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,False,,Serialzied,Product,KBT-EU,HYDRAULIC COMPONENTS,HYDRAULIC COMPONENTS,HYDRAULIC COMPONENTS,HYDRAULIC COMPONENTS,,HYDRAULIC COMPONENTS,,HYDRAULIC COMPONENTS,,HYDRAULIC COMPONENTS,HYDRAULIC COMPONENTS,True,False,False,,False,79,,False,41480-41480,41480.0,True,
